sample,checkout_form_id,pushed_at_utc,poll_key,poll_created_utc,poll_locked_utc,poll_updated_utc,poll_status,poll_outcome,poll_attempts,poll_attempt_duration_ms,child_created_utc,child_locked_utc,child_updated_utc,child_status,child_outcome,child_attempts,child_attempt_duration_ms,internal_order_id,record_created_utc,record_status,synced_at_utc,dest_sync_status
1,mttp72bb1b2d0a-perf-allegro-a-order-3,2026-09-09T06:11:31.152Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat1:1788934291158,2026-09-09 06:11:31.182341+00,,2026-09-09 06:11:32.184309+00,succeeded,ok,0,316,2026-09-09 06:11:32.183582+00,2026-09-09 06:11:32.877+00,2026-09-09 06:11:36.947317+00,succeeded,ok,0,4060,ol_order_834344b4bac548559473b89428a08d47,2026-09-09 06:11:34.017,ready,2026-09-09T06:11:36.942Z,synced
2,mttp72bb1b2d0a-perf-allegro-a-order-4,2026-09-09T06:11:37.221Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat2:1788934297230,2026-09-09 06:11:37.251581+00,,2026-09-09 06:11:38.249995+00,succeeded,ok,0,290,2026-09-09 06:11:38.247131+00,2026-09-09 06:11:38.968+00,2026-09-09 06:11:43.04078+00,succeeded,ok,0,4066,ol_order_940435b9a9804fc89c0bab802d6a1170,2026-09-09 06:11:40.115,ready,2026-09-09T06:11:43.036Z,synced
3,mttp72bb1b2d0a-perf-allegro-a-order-5,2026-09-09T06:11:43.281Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat3:1788934303293,2026-09-09 06:11:43.315648+00,,2026-09-09 06:11:44.398936+00,succeeded,ok,0,294,2026-09-09 06:11:44.395888+00,2026-09-09 06:11:45.117+00,2026-09-09 06:11:49.154869+00,succeeded,ok,0,4030,ol_order_8e3b3a8e5cff4174a3d9615a4153715b,2026-09-09 06:11:46.265,ready,2026-09-09T06:11:49.144Z,synced
4,mttp72bb1b2d0a-perf-allegro-a-order-6,2026-09-09T06:11:50.473Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat4:1788934310485,2026-09-09 06:11:50.507144+00,,2026-09-09 06:11:51.526965+00,succeeded,ok,0,291,2026-09-09 06:11:51.523241+00,2026-09-09 06:11:52.244+00,2026-09-09 06:11:56.282509+00,succeeded,ok,0,4033,ol_order_e291c8182ca44b42a092d165f0d6af83,2026-09-09 06:11:53.379,ready,2026-09-09T06:11:56.273Z,synced
5,mttp72bb1b2d0a-perf-allegro-a-order-7,2026-09-09T06:11:56.559Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat5:1788934316571,2026-09-09 06:11:56.594071+00,,2026-09-09 06:11:57.617246+00,succeeded,ok,0,295,2026-09-09 06:11:57.613728+00,2026-09-09 06:11:58.332+00,2026-09-09 06:12:02.411819+00,succeeded,ok,0,4072,ol_order_937b7b23a1834392b2ae3740ad960a3d,2026-09-09 06:11:59.49,ready,2026-09-09T06:12:02.407Z,synced
6,mttp72bb1b2d0a-perf-allegro-a-order-8,2026-09-09T06:12:03.764Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat6:1788934323772,2026-09-09 06:12:03.785824+00,,2026-09-09 06:12:04.747253+00,succeeded,ok,0,288,2026-09-09 06:12:04.744149+00,2026-09-09 06:12:05.466+00,2026-09-09 06:12:09.496346+00,succeeded,ok,0,4025,ol_order_9e5c9c5e5aa64ade8f681b00d7b18f08,2026-09-09 06:12:06.597,ready,2026-09-09T06:12:09.490Z,synced
7,mttp72bb1b2d0a-perf-allegro-a-order-9,2026-09-09T06:12:09.824Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat7:1788934329835,2026-09-09 06:12:09.854986+00,,2026-09-09 06:12:10.828634+00,succeeded,ok,0,294,2026-09-09 06:12:10.825998+00,2026-09-09 06:12:11.546+00,2026-09-09 06:12:15.636678+00,succeeded,ok,0,4084,ol_order_012ab4b85e874e44b128f8002bf46300,2026-09-09 06:12:12.701,ready,2026-09-09T06:12:15.627Z,synced
8,mttp72bb1b2d0a-perf-allegro-a-order-10,2026-09-09T06:12:15.873Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat8:1788934335884,2026-09-09 06:12:15.904347+00,,2026-09-09 06:12:16.935544+00,succeeded,ok,0,294,2026-09-09 06:12:16.931704+00,2026-09-09 06:12:17.651+00,2026-09-09 06:12:21.650061+00,succeeded,ok,0,3994,ol_order_87c3cc7ea51341e9819eae3ce5d45fc5,2026-09-09 06:12:18.782,ready,2026-09-09T06:12:21.640Z,synced
9,mttp72bb1b2d0a-perf-allegro-a-order-11,2026-09-09T06:12:21.962Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat9:1788934341972,2026-09-09 06:12:21.994034+00,,2026-09-09 06:12:23.028578+00,succeeded,ok,0,292,2026-09-09 06:12:23.026363+00,2026-09-09 06:12:23.747+00,2026-09-09 06:12:27.760014+00,succeeded,ok,0,4007,ol_order_92db57fd63e0499cb3d06e3e612583c1,2026-09-09 06:12:24.901,ready,2026-09-09T06:12:27.750Z,synced
10,mttp72bb1b2d0a-perf-allegro-a-order-12,2026-09-09T06:12:28.057Z,marketplace:758eb04c-9847-42ba-a905-af62b0b37b39:orders:poll:lat10:1788934348066,2026-09-09 06:12:28.090598+00,,2026-09-09 06:12:29.136542+00,succeeded,ok,0,294,2026-09-09 06:12:29.133877+00,2026-09-09 06:12:29.854+00,2026-09-09 06:12:33.849626+00,succeeded,ok,0,3989,ol_order_0a88314be3fe4ec9a24e9ae59d2ea000,2026-09-09 06:12:30.994,ready,2026-09-09T06:12:33.843Z,synced
