ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-09T06:11:33Z,0,0,0,45,0,2653705907,"[{""name"":""lab-worker-1"",""cpu"":""4.20%"",""mem"":""106.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""114MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.30%"",""mem"":""73.32MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""6.57%"",""mem"":""246.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.92%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.02%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.11%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T06:11:37Z,4,0,1,45,0,2653705907,"[{""name"":""lab-worker-1"",""cpu"":""3.39%"",""mem"":""106.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""21.80%"",""mem"":""120.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.43%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""20.48%"",""mem"":""247.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""20.56%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.86%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.24%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T06:11:40Z,4,1,0,45,0,2653705907,"[{""name"":""lab-worker-1"",""cpu"":""36.01%"",""mem"":""108.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.39%"",""mem"":""116.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.74%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""16.28%"",""mem"":""253.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.23%"",""mem"":""679.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.81%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T06:11:44Z,3,0,1,45,0,2653705907,"[{""name"":""lab-worker-1"",""cpu"":""5.40%"",""mem"":""111.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""118.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.51%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""14.21%"",""mem"":""253.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.90%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.97%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.11%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T06:11:48Z,4,0,1,45,0,2653705907,"[{""name"":""lab-worker-1"",""cpu"":""3.31%"",""mem"":""110.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""16.10%"",""mem"":""120.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.63%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""8.22%"",""mem"":""254MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""12.92%"",""mem"":""679.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.91%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.05%"",""mem"":""29.93MiB / 122.8GiB""}]"
2026-09-09T06:11:52Z,4,0,0,45,0,2653714099,"[{""name"":""lab-worker-1"",""cpu"":""4.70%"",""mem"":""111.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.40%"",""mem"":""73.32MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""14.53%"",""mem"":""254.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.41%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.88%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.41%"",""mem"":""29.72MiB / 122.8GiB""}]"
2026-09-09T06:11:55Z,4,0,1,45,0,2653722291,"[{""name"":""lab-worker-1"",""cpu"":""3.21%"",""mem"":""111.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.27%"",""mem"":""124.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.54%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""7.37%"",""mem"":""251MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.97%"",""mem"":""679.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.27%"",""mem"":""485.4MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.09%"",""mem"":""29.69MiB / 122.8GiB""}]"
2026-09-09T06:11:59Z,3,1,0,45,0,2653722291,"[{""name"":""lab-worker-1"",""cpu"":""1.30%"",""mem"":""114.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.02%"",""mem"":""126.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.29%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""6.92%"",""mem"":""253.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.59%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.89%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.14%"",""mem"":""29.69MiB / 122.8GiB""}]"
2026-09-09T06:12:03Z,4,0,1,45,0,2653722291,"[{""name"":""lab-worker-1"",""cpu"":""10.08%"",""mem"":""118.2MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""123.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""15.76%"",""mem"":""130.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.41%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""15.23%"",""mem"":""254.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""13.57%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.94%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.05%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T06:12:06Z,4,2,0,45,0,2653722291,"[{""name"":""lab-worker-1"",""cpu"":""5.55%"",""mem"":""118.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""123.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""1.65%"",""mem"":""130.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""204.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.84%"",""mem"":""73.07MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""10.12%"",""mem"":""254.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""2.22%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.91%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""29.69MiB / 122.8GiB""}]"
