ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T13:29:49Z,0,0,0,1,0,2604398259,"[{""name"":""lab-worker-1"",""cpu"":""2.81%"",""mem"":""130.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""137.6MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.31%"",""mem"":""39.73MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.37%"",""mem"":""265MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.98%"",""mem"":""546.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.99%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.39%"",""mem"":""26.81MiB / 122.8GiB""}]"
2026-09-08T13:29:53Z,4,98,2,1,0,2604455603,"[{""name"":""lab-worker-1"",""cpu"":""2.89%"",""mem"":""131.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.59%"",""mem"":""137.6MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.79%"",""mem"":""39.48MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""30.35%"",""mem"":""269.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.74%"",""mem"":""546.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.74%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""26.81MiB / 122.8GiB""}]"
2026-09-08T13:29:56Z,4,98,1,1,0,2604463795,"[{""name"":""lab-worker-1"",""cpu"":""16.02%"",""mem"":""131.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.49%"",""mem"":""135.6MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.77%"",""mem"":""39.48MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""7.41%"",""mem"":""266.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.84%"",""mem"":""547.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.94%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.20%"",""mem"":""26.82MiB / 122.8GiB""}]"
2026-09-08T13:30:00Z,3,98,3,1,3,2604512947,"[{""name"":""lab-worker-1"",""cpu"":""4.30%"",""mem"":""131.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""13.69%"",""mem"":""137.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.68%"",""mem"":""39.53MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.44%"",""mem"":""266.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""20.60%"",""mem"":""548.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.92%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.09%"",""mem"":""26.81MiB / 122.8GiB""}]"
2026-09-08T13:30:04Z,4,197,1,1,0,2604545715,"[{""name"":""lab-worker-1"",""cpu"":""3.87%"",""mem"":""129.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""10.05%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.78%"",""mem"":""39.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""27.11%"",""mem"":""268.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.48%"",""mem"":""548.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.40%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.13%"",""mem"":""26.82MiB / 122.8GiB""}]"
2026-09-08T13:30:07Z,4,198,2,1,0,2604562099,"[{""name"":""lab-worker-1"",""cpu"":""9.19%"",""mem"":""130.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.41%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""20.89%"",""mem"":""137.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.57%"",""mem"":""39.55MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.04%"",""mem"":""267.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""17.72%"",""mem"":""549.4MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.82%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""26.82MiB / 122.8GiB""}]"
2026-09-08T13:30:11Z,3,297,2,1,0,2604644019,"[{""name"":""lab-worker-1"",""cpu"":""2.83%"",""mem"":""131MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.86%"",""mem"":""133.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""9.48%"",""mem"":""210.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.80%"",""mem"":""39.58MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""2.65%"",""mem"":""266.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.30%"",""mem"":""548.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.59%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.28%"",""mem"":""26.87MiB / 122.8GiB""}]"
2026-09-08T13:30:15Z,4,298,1,1,0,2604644019,"[{""name"":""lab-worker-1"",""cpu"":""8.48%"",""mem"":""131MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""11.21%"",""mem"":""133.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.90%"",""mem"":""39.6MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""31.19%"",""mem"":""267.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.38%"",""mem"":""550.4MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.76%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.13%"",""mem"":""27.05MiB / 122.8GiB""}]"
2026-09-08T13:30:18Z,4,298,2,1,0,2604684979,"[{""name"":""lab-worker-1"",""cpu"":""3.97%"",""mem"":""130.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""26.43%"",""mem"":""135.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.74%"",""mem"":""39.65MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.57%"",""mem"":""267MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""24.91%"",""mem"":""550.4MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.84%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.14%"",""mem"":""26.81MiB / 122.8GiB""}]"
2026-09-08T13:30:22Z,3,397,1,1,0,2604742323,"[{""name"":""lab-worker-1"",""cpu"":""4.33%"",""mem"":""130.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.50%"",""mem"":""133.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""5.16%"",""mem"":""40.25MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.41%"",""mem"":""267.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.51%"",""mem"":""550.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.95%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.22%"",""mem"":""26.81MiB / 122.8GiB""}]"
