ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T13:37:34Z,0,0,0,1,0,2606061235,"[{""name"":""lab-worker-1"",""cpu"":""2.08%"",""mem"":""136.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""128.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.71%"",""mem"":""40.18MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""4.13%"",""mem"":""262.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.02%"",""mem"":""560.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.03%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.24%"",""mem"":""26.88MiB / 122.8GiB""}]"
2026-09-08T13:37:38Z,3,98,2,1,0,2606110387,"[{""name"":""lab-worker-1"",""cpu"":""8.60%"",""mem"":""137.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""23.64%"",""mem"":""126.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.93%"",""mem"":""40.17MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""42.36%"",""mem"":""269.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""21.96%"",""mem"":""561.1MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.81%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.13%"",""mem"":""26.89MiB / 122.8GiB""}]"
2026-09-08T13:37:42Z,4,96,2,1,0,2606126771,"[{""name"":""lab-worker-1"",""cpu"":""21.60%"",""mem"":""136.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""3.13%"",""mem"":""130.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.56%"",""mem"":""40.42MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""7.57%"",""mem"":""272.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""3.88%"",""mem"":""561.1MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.92%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""26.9MiB / 122.8GiB""}]"
2026-09-08T13:37:45Z,4,96,3,1,1,2606266035,"[{""name"":""lab-worker-1"",""cpu"":""11.14%"",""mem"":""136.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""39.30%"",""mem"":""130.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.73%"",""mem"":""40.23MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""12.49%"",""mem"":""275.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""30.70%"",""mem"":""560.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.10%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""2.20%"",""mem"":""32.64MiB / 122.8GiB""}]"
2026-09-08T13:37:49Z,3,200,2,1,0,2606339763,"[{""name"":""lab-worker-1"",""cpu"":""16.61%"",""mem"":""136.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""80.59%"",""mem"":""130.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.36%"",""mem"":""40.23MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""36.22%"",""mem"":""276.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""73.62%"",""mem"":""560.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.14%"",""mem"":""26.89MiB / 122.8GiB""}]"
2026-09-08T13:37:53Z,4,199,2,1,0,2606356147,"[{""name"":""lab-worker-1"",""cpu"":""30.53%"",""mem"":""136.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.43%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""52.87%"",""mem"":""134.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.05%"",""mem"":""40.27MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""22.11%"",""mem"":""276.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""60.56%"",""mem"":""561.1MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.74%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.16%"",""mem"":""26.89MiB / 122.8GiB""}]"
2026-09-08T13:37:56Z,4,298,2,1,0,2606462643,"[{""name"":""lab-worker-1"",""cpu"":""11.66%"",""mem"":""137.2MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""16.67%"",""mem"":""130.6MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.84%"",""mem"":""40.29MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""10.78%"",""mem"":""273.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""16.64%"",""mem"":""561.4MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.94%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.26%"",""mem"":""26.9MiB / 122.8GiB""}]"
2026-09-08T13:38:00Z,3,298,2,1,0,2606479027,"[{""name"":""lab-worker-1"",""cpu"":""4.32%"",""mem"":""136.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""5.32%"",""mem"":""136.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.40%"",""mem"":""40.29MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""32.50%"",""mem"":""273.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.58%"",""mem"":""560.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.67%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.15%"",""mem"":""26.89MiB / 122.8GiB""}]"
2026-09-08T13:38:04Z,4,298,2,1,0,2606536371,"[{""name"":""lab-worker-1"",""cpu"":""18.45%"",""mem"":""137.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""39.85%"",""mem"":""136.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.95%"",""mem"":""40.36MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""10.61%"",""mem"":""273.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""36.32%"",""mem"":""561MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.74%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.22%"",""mem"":""26.89MiB / 122.8GiB""}]"
2026-09-08T13:38:08Z,4,399,2,1,0,2606651059,"[{""name"":""lab-worker-1"",""cpu"":""37.91%"",""mem"":""137.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""80.69%"",""mem"":""142.5MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.55%"",""mem"":""40.37MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""14.82%"",""mem"":""273.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""66.06%"",""mem"":""561.1MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.77%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.09%"",""mem"":""26.89MiB / 122.8GiB""}]"
