ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T13:45:18Z,0,0,0,1,0,2610542259,"[{""name"":""lab-worker-1"",""cpu"":""21.75%"",""mem"":""114.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""133.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.21%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.26%"",""mem"":""41.33MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""51.91%"",""mem"":""306.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.87%"",""mem"":""566.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.59%"",""mem"":""27.1MiB / 122.8GiB""}]"
2026-09-08T13:45:22Z,3,84,16,1,0,2610722483,"[{""name"":""lab-worker-1"",""cpu"":""43.95%"",""mem"":""132.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""141.29%"",""mem"":""177.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.67%"",""mem"":""41.34MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""37.53%"",""mem"":""329.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""105.20%"",""mem"":""575.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.62%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.23%"",""mem"":""27.09MiB / 122.8GiB""}]"
2026-09-08T13:45:26Z,4,66,16,1,0,2610878131,"[{""name"":""lab-worker-1"",""cpu"":""44.58%"",""mem"":""140.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""200.90%"",""mem"":""192.8MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.99%"",""mem"":""41.6MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""17.19%"",""mem"":""324.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""160.49%"",""mem"":""577.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.64%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.95%"",""mem"":""27.11MiB / 122.8GiB""}]"
2026-09-08T13:45:29Z,4,103,16,1,0,2611132083,"[{""name"":""lab-worker-1"",""cpu"":""37.31%"",""mem"":""150.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""331.37%"",""mem"":""229.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""6.05%"",""mem"":""41.39MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""14.35%"",""mem"":""308.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""263.36%"",""mem"":""580MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""4.60%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.20%"",""mem"":""27.11MiB / 122.8GiB""}]"
2026-09-08T13:45:33Z,3,129,16,1,0,2611304115,"[{""name"":""lab-worker-1"",""cpu"":""43.34%"",""mem"":""156.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""288.96%"",""mem"":""229.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""9.28%"",""mem"":""41.41MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""30.80%"",""mem"":""315.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""244.55%"",""mem"":""581MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.52%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.06%"",""mem"":""27.11MiB / 122.8GiB""}]"
2026-09-08T13:45:37Z,4,113,16,1,0,2611345075,"[{""name"":""lab-worker-1"",""cpu"":""37.72%"",""mem"":""164.2MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""273.81%"",""mem"":""212.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""12.84%"",""mem"":""41.43MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""12.57%"",""mem"":""315.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""242.42%"",""mem"":""582.4MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.54%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.10%"",""mem"":""27.11MiB / 122.8GiB""}]"
2026-09-08T13:45:40Z,4,200,11,1,0,2611508915,"[{""name"":""lab-worker-1"",""cpu"":""45.44%"",""mem"":""164MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""205.05%"",""mem"":""220.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""5.05%"",""mem"":""41.49MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""29.73%"",""mem"":""316.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""163.18%"",""mem"":""582.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.54%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.20%"",""mem"":""27.09MiB / 122.8GiB""}]"
2026-09-08T13:45:44Z,3,212,0,1,0,2611648179,"[{""name"":""lab-worker-1"",""cpu"":""55.16%"",""mem"":""163.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""151.92%"",""mem"":""192.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""9.55%"",""mem"":""41.52MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""36.75%"",""mem"":""319.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""136.27%"",""mem"":""582.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.56%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.22%"",""mem"":""27.12MiB / 122.8GiB""}]"
2026-09-08T13:45:48Z,4,203,11,1,0,2611762867,"[{""name"":""lab-worker-1"",""cpu"":""49.98%"",""mem"":""161.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""91.17%"",""mem"":""202.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""18.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""7.79%"",""mem"":""41.57MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""59.53%"",""mem"":""319.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""74.67%"",""mem"":""582.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""4.89%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.12%"",""mem"":""27.11MiB / 122.8GiB""}]"
2026-09-08T13:45:51Z,4,287,15,1,0,2611943091,"[{""name"":""lab-worker-1"",""cpu"":""46.66%"",""mem"":""163MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""133.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""61.06%"",""mem"":""220.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.48%"",""mem"":""41.57MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""45.26%"",""mem"":""321.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""54.36%"",""mem"":""582.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.73%"",""mem"":""483.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.18%"",""mem"":""27.13MiB / 122.8GiB""}]"
