ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T14:43:51Z,0,0,0,12,0,2624337587,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""5.00%"",""mem"":""140.2MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""119MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.32%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.20%"",""mem"":""261.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.99%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.06%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.06%"",""mem"":""27.25MiB / 122.8GiB""}]"
2026-09-08T14:43:55Z,3,10,2,12,0,2624362163,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.67%"",""mem"":""16.68MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""2.56%"",""mem"":""139.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""4.70%"",""mem"":""121.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.55%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.82%"",""mem"":""263.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.51%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.96%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""27.25MiB / 122.8GiB""}]"
2026-09-08T14:43:59Z,4,10,2,12,0,2624362163,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.14%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""4.88%"",""mem"":""139.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""121.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.46%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.58%"",""mem"":""263.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.03%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.02%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.23%"",""mem"":""27.33MiB / 122.8GiB""}]"
2026-09-08T14:44:02Z,4,9,2,12,0,2624362163,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.07%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""5.72%"",""mem"":""139.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""121.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.32%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""8.80%"",""mem"":""260.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.17%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.83%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.03%"",""mem"":""27.25MiB / 122.8GiB""}]"
2026-09-08T14:44:06Z,3,8,2,12,0,2624362163,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.07%"",""mem"":""16.61MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""1.47%"",""mem"":""139.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""121.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.48%"",""mem"":""42.99MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.98%"",""mem"":""260.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.33%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.03%"",""mem"":""27.25MiB / 122.8GiB""}]"
2026-09-08T14:44:10Z,4,7,2,12,0,2624370355,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.44%"",""mem"":""17MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""2.28%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""121.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.42%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""20.11%"",""mem"":""260.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.81%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.26%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:44:14Z,4,6,2,12,0,2624370355,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.08%"",""mem"":""16.59MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.65%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""119.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.32%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.41%"",""mem"":""260.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.94%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.00%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.02%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:44:17Z,4,6,2,12,0,2624370355,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.01%"",""mem"":""16.53MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""1.61%"",""mem"":""139.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.34%"",""mem"":""42.64MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.14%"",""mem"":""260.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.27%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:44:21Z,3,5,2,12,0,2624370355,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.08%"",""mem"":""16.53MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""1.08%"",""mem"":""139.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.37%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.39%"",""mem"":""260.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.06%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.99%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:44:25Z,4,5,2,12,0,2624370355,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.14%"",""mem"":""16.59MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""3.06%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""135.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.44%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.35%"",""mem"":""260.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.87%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.97%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.58%"",""mem"":""27.31MiB / 122.8GiB""}]"
