ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T14:47:19Z,0,0,0,12,0,2624403123,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.00%"",""mem"":""16.59MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""1.75%"",""mem"":""139.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.1MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.32%"",""mem"":""42.68MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.51%"",""mem"":""260.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.98%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.06%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.10%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:47:22Z,4,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.45%"",""mem"":""16.7MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""1.54%"",""mem"":""140.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""126.1MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""2.48%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.50%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.59%"",""mem"":""265.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""3.42%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.00%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.02%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:47:26Z,3,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.04%"",""mem"":""16.67MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.65%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.1MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.03%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.37%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.43%"",""mem"":""265.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.97%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.83%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.37%"",""mem"":""27.29MiB / 122.8GiB""}]"
2026-09-08T14:47:30Z,4,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.00%"",""mem"":""16.66MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.55%"",""mem"":""139.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.24%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.59%"",""mem"":""260.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.97%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.00%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:47:33Z,4,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.01%"",""mem"":""16.92MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.43%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.28%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.71%"",""mem"":""260MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.99%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.91%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.23MiB / 122.8GiB""}]"
2026-09-08T14:47:37Z,4,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.25%"",""mem"":""16.66MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""2.89%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""1.83%"",""mem"":""126.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""117.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.66%"",""mem"":""42.92MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""21.42%"",""mem"":""258.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""4.17%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.73%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:47:41Z,3,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.00%"",""mem"":""16.66MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.57%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""115.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.24%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.40%"",""mem"":""259.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.93%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.62%"",""mem"":""484.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:47:45Z,4,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.00%"",""mem"":""16.66MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.47%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""115.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""11.81%"",""mem"":""201.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.29%"",""mem"":""42.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.39%"",""mem"":""259.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.95%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""4.43%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""27.23MiB / 122.8GiB""}]"
2026-09-08T14:47:48Z,4,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.01%"",""mem"":""16.66MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.84%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""115.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.30%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.49%"",""mem"":""258.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.04%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.03%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.02%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:47:52Z,3,10,2,12,0,2624435891,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.10%"",""mem"":""16.69MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.77%"",""mem"":""139.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""126.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""115.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.28%"",""mem"":""42.62MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.56%"",""mem"":""258.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.62%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""484.1MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.26MiB / 122.8GiB""}]"
