ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T15:14:02Z,0,0,0,18,0,2625181363,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.00%"",""mem"":""17.34MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""2.45%"",""mem"":""102.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""115.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.68%"",""mem"":""43.09MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.14%"",""mem"":""259.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.95%"",""mem"":""657.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.94%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.84%"",""mem"":""27.34MiB / 122.8GiB""}]"
2026-09-08T15:14:06Z,3,10,2,18,0,2625197747,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.57%"",""mem"":""17.43MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""6.90%"",""mem"":""104.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.90%"",""mem"":""117.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.79%"",""mem"":""42.81MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.58%"",""mem"":""264.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""14.54%"",""mem"":""657.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.95%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.27MiB / 122.8GiB""}]"
2026-09-08T15:14:10Z,4,10,1,18,0,2625197747,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""5.07%"",""mem"":""17.49MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""23.07%"",""mem"":""107.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.24%"",""mem"":""117.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.83%"",""mem"":""42.81MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""8.25%"",""mem"":""264.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.89%"",""mem"":""657.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.99%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""27.27MiB / 122.8GiB""}]"
2026-09-08T15:14:14Z,4,11,3,18,0,2625222323,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.68%"",""mem"":""17.71MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""5.46%"",""mem"":""109.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""20.60%"",""mem"":""123.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.68%"",""mem"":""42.81MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.49%"",""mem"":""265.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""21.44%"",""mem"":""658MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.89%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.45%"",""mem"":""27.33MiB / 122.8GiB""}]"
2026-09-08T15:14:17Z,4,9,2,18,0,2625230515,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.69%"",""mem"":""17.35MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""16.30%"",""mem"":""109.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.02%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.45%"",""mem"":""115.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.85%"",""mem"":""42.81MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""4.24%"",""mem"":""265.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.16%"",""mem"":""658MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.96%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.03%"",""mem"":""27.27MiB / 122.8GiB""}]"
2026-09-08T15:14:21Z,3,10,2,18,0,2625246899,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.60%"",""mem"":""17.35MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""6.81%"",""mem"":""109.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.42%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""38.39%"",""mem"":""123.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.67%"",""mem"":""42.81MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""22.04%"",""mem"":""265.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""33.67%"",""mem"":""658MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.91%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""27.27MiB / 122.8GiB""}]"
2026-09-08T15:14:25Z,4,8,2,18,0,2625271475,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.95%"",""mem"":""17.43MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""6.35%"",""mem"":""116.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""10.32%"",""mem"":""117.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.77%"",""mem"":""42.82MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.40%"",""mem"":""265.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.48%"",""mem"":""658MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.95%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.11%"",""mem"":""27.27MiB / 122.8GiB""}]"
2026-09-08T15:14:28Z,4,10,2,18,0,2625271475,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.29%"",""mem"":""17.4MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""15.20%"",""mem"":""116.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""20.32%"",""mem"":""121.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.68%"",""mem"":""43.06MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.18%"",""mem"":""266.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""17.27%"",""mem"":""659.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.95%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""27.26MiB / 122.8GiB""}]"
2026-09-08T15:14:32Z,3,9,2,18,0,2625296051,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.55%"",""mem"":""17.33MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""14.28%"",""mem"":""116.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""129.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""23.61%"",""mem"":""117.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.74%"",""mem"":""42.88MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""7.30%"",""mem"":""266.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""21.40%"",""mem"":""659.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.85%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.10%"",""mem"":""27.28MiB / 122.8GiB""}]"
2026-09-08T15:14:36Z,4,8,2,18,0,2625312435,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.29%"",""mem"":""17.44MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""3.41%"",""mem"":""117.5MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""2.23%"",""mem"":""252.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""4.08%"",""mem"":""659.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.83%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.02%"",""mem"":""27.27MiB / 122.8GiB""}]"
