ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T15:02:56Z,0,0,0,12,0,2624878259,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.01%"",""mem"":""17.03MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""2.00%"",""mem"":""140.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""121.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.29%"",""mem"":""42.97MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""2.27%"",""mem"":""260MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.96%"",""mem"":""657.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.00%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.11%"",""mem"":""27.2MiB / 122.8GiB""}]"
2026-09-08T15:02:59Z,4,10,2,12,0,2624894643,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.74%"",""mem"":""17.2MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""3.49%"",""mem"":""140.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""10.35%"",""mem"":""117.5MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.77%"",""mem"":""42.98MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.47%"",""mem"":""262.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""12.74%"",""mem"":""657.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.2MiB / 122.8GiB""}]"
2026-09-08T15:03:03Z,3,10,2,12,0,2624894643,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.93%"",""mem"":""17.2MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""8.03%"",""mem"":""140.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""10.01%"",""mem"":""117.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.96%"",""mem"":""43MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""8.50%"",""mem"":""263.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.27%"",""mem"":""657.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.91%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.02%"",""mem"":""27.2MiB / 122.8GiB""}]"
2026-09-08T15:03:07Z,4,10,3,12,0,2624911027,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.62%"",""mem"":""17.22MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""4.00%"",""mem"":""140.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""12.43%"",""mem"":""119.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.78%"",""mem"":""43.23MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.57%"",""mem"":""263.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""15.86%"",""mem"":""657.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.95%"",""mem"":""483.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.29%"",""mem"":""27.23MiB / 122.8GiB""}]"
2026-09-08T15:03:11Z,4,9,2,12,0,2624919219,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.71%"",""mem"":""17.18MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""5.69%"",""mem"":""140.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.93%"",""mem"":""123.3MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.77%"",""mem"":""42.74MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.42%"",""mem"":""263.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.79%"",""mem"":""657.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.14%"",""mem"":""27.2MiB / 122.8GiB""}]"
2026-09-08T15:03:14Z,4,10,2,12,0,2624960179,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""9.99%"",""mem"":""17.15MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""6.53%"",""mem"":""140.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.35%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""22.02%"",""mem"":""129.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.68%"",""mem"":""42.74MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""22.57%"",""mem"":""263.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""18.03%"",""mem"":""657.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.80%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.03%"",""mem"":""27.2MiB / 122.8GiB""}]"
2026-09-08T15:03:18Z,3,8,2,12,0,2624968371,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""5.14%"",""mem"":""17.32MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""5.45%"",""mem"":""141.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.19%"",""mem"":""125.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.67%"",""mem"":""43MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.75%"",""mem"":""263.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.16%"",""mem"":""657.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.94%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.12%"",""mem"":""27.21MiB / 122.8GiB""}]"
2026-09-08T15:03:22Z,4,7,1,12,0,2624984755,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.63%"",""mem"":""17.27MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""24.15%"",""mem"":""140.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""26.66%"",""mem"":""129.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.86%"",""mem"":""42.75MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.39%"",""mem"":""263.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""23.64%"",""mem"":""657.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.79%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.07%"",""mem"":""27.25MiB / 122.8GiB""}]"
2026-09-08T15:03:25Z,4,7,2,12,0,2625009331,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.79%"",""mem"":""17.28MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""4.07%"",""mem"":""140.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""26.47%"",""mem"":""129.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.66%"",""mem"":""42.75MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.43%"",""mem"":""263.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""25.73%"",""mem"":""657.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.90%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.16%"",""mem"":""27.2MiB / 122.8GiB""}]"
2026-09-08T15:03:29Z,3,6,1,12,0,2625017523,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.16%"",""mem"":""17.35MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""6.10%"",""mem"":""141.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""128.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""1.51%"",""mem"":""127.4MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.46%"",""mem"":""42.75MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.29%"",""mem"":""264MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""2.58%"",""mem"":""657.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.96%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.22%"",""mem"":""27.21MiB / 122.8GiB""}]"
