ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T14:32:58Z,0,0,0,12,0,2623927987,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.01%"",""mem"":""14.26MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.39%"",""mem"":""133.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""106.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.27%"",""mem"":""42.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.30%"",""mem"":""260.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.97%"",""mem"":""654.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.90%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.09%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:33:02Z,3,10,2,12,0,2623944371,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""1.05%"",""mem"":""15.68MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""3.08%"",""mem"":""134.2MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.02%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.35%"",""mem"":""108.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.81%"",""mem"":""42.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.41%"",""mem"":""265.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""15.21%"",""mem"":""654.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.77%"",""mem"":""27.3MiB / 122.8GiB""}]"
2026-09-08T14:33:06Z,4,10,2,12,0,2623944371,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.89%"",""mem"":""16.27MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""7.98%"",""mem"":""134.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""23.03%"",""mem"":""109.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.64%"",""mem"":""42.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""4.88%"",""mem"":""265.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""28.57%"",""mem"":""656.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.36%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""27.23MiB / 122.8GiB""}]"
2026-09-08T14:33:10Z,4,10,2,12,0,2623977139,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""1.01%"",""mem"":""16.41MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""5.11%"",""mem"":""134.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.91%"",""mem"":""109.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.71%"",""mem"":""42.83MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.37%"",""mem"":""266.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""11.27%"",""mem"":""656.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.94%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:33:13Z,4,10,2,12,0,2623977139,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.42%"",""mem"":""16.18MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""13.50%"",""mem"":""134.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""2.83%"",""mem"":""114.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.89%"",""mem"":""42.84MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""6.41%"",""mem"":""266.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""3.85%"",""mem"":""656.4MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.80%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""27.23MiB / 122.8GiB""}]"
2026-09-08T14:33:17Z,3,10,2,12,0,2623993523,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""1.08%"",""mem"":""16.48MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""4.38%"",""mem"":""134.2MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""11.58%"",""mem"":""115MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.82%"",""mem"":""42.58MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""19.68%"",""mem"":""267.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""12.72%"",""mem"":""656.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.83%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:33:21Z,4,10,2,12,0,2623993523,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""0.97%"",""mem"":""16.13MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""10.31%"",""mem"":""133.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.75%"",""mem"":""115MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.78%"",""mem"":""42.57MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""9.22%"",""mem"":""267.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.06%"",""mem"":""656.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.94%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.02%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:33:24Z,4,9,2,12,0,2624026291,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""1.37%"",""mem"":""16.27MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""11.13%"",""mem"":""134.3MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.21%"",""mem"":""117.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.77%"",""mem"":""42.57MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.54%"",""mem"":""264.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.90%"",""mem"":""656.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.92%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.03%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:33:28Z,3,9,1,12,0,2624050867,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""4.78%"",""mem"":""16.36MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""6.37%"",""mem"":""134.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.58%"",""mem"":""119.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.76%"",""mem"":""42.57MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""1.88%"",""mem"":""264MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.94%"",""mem"":""656.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.30%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.10%"",""mem"":""27.24MiB / 122.8GiB""}]"
2026-09-08T14:33:32Z,4,5,0,12,0,2624059059,"[{""name"":""lab-ps-fault-proxy"",""cpu"":""5.30%"",""mem"":""16.32MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""9.99%"",""mem"":""134.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""134.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.49MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""6.34%"",""mem"":""117MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.61%"",""mem"":""42.57MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.83%"",""mem"":""264MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""10.85%"",""mem"":""656.9MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.83%"",""mem"":""483.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.10%"",""mem"":""27.24MiB / 122.8GiB""}]"
