ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-10T08:39:30Z,0,1,0,0,10,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.38%"",""mem"":""95.88MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.00%"",""mem"":""19.2MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""4.13%"",""mem"":""15.87MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""4.70%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.27%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.90%"",""mem"":""240.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.50%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.82%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:33Z,3,0,0,0,11,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.58%"",""mem"":""95.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.18MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.29%"",""mem"":""77.84MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.38%"",""mem"":""240.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.01%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""6.00%"",""mem"":""494.4MiB / 122.8GiB""}]"
2026-09-10T08:39:36Z,3,0,0,0,11,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.51%"",""mem"":""95.96MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""19.18MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""4.03%"",""mem"":""15.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""4.17%"",""mem"":""19.38MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.01%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.01%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.26%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.88%"",""mem"":""240.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.94%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.92%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:39Z,3,0,0,0,11,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.72%"",""mem"":""95.72MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.06%"",""mem"":""19.19MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.30%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.78%"",""mem"":""240.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.32%"",""mem"":""717.3MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.99%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:43Z,4,0,0,0,12,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.25%"",""mem"":""95.73MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.04%"",""mem"":""19.18MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.28%"",""mem"":""77.84MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.35%"",""mem"":""240.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.89%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.59%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:46Z,3,0,0,0,12,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.39%"",""mem"":""95.75MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.91%"",""mem"":""19.19MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""4.03%"",""mem"":""19.39MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""4.35%"",""mem"":""15.84MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.01%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.28%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.88%"",""mem"":""240.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.95%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.91%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:49Z,3,0,0,0,12,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""3.29%"",""mem"":""96.76MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.11%"",""mem"":""19.19MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.02%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.34%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""5.84%"",""mem"":""239.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.04%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.99%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:52Z,3,0,0,0,13,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.44%"",""mem"":""95.79MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.05%"",""mem"":""19.44MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.01%"",""mem"":""15.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.02%"",""mem"":""19.41MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.29%"",""mem"":""77.84MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.38%"",""mem"":""239.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.05%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.98%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:55Z,3,0,0,0,13,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""0.44%"",""mem"":""96.04MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.03%"",""mem"":""19.18MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""2.12%"",""mem"":""21.37MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""3.99%"",""mem"":""15.84MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""224.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.30%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.43%"",""mem"":""239.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.00%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.91%"",""mem"":""494.3MiB / 122.8GiB""}]"
2026-09-10T08:39:58Z,3,0,0,0,13,2666387123,"[{""name"":""lab-worker-1"",""cpu"":""1.12%"",""mem"":""95.81MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.18MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""15.65MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""19.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""15.83MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""15.82MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.84%"",""mem"":""148.7MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.64MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.95MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.06MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""169.7MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""4.05%"",""mem"":""232.4MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.36%"",""mem"":""77.59MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.77%"",""mem"":""239.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""1.34%"",""mem"":""717.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.02%"",""mem"":""494.3MiB / 122.8GiB""}]"
