ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-10T13:49:18Z,0,1,0,47,0,2668869299,"[{""name"":""lab-worker-1"",""cpu"":""38.70%"",""mem"":""137MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.4MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.13%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.01%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.01%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.01%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.51MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""10.55%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""294.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.20%"",""mem"":""80.67MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""40.33%"",""mem"":""242MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""12.81%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.75%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:21Z,3,98,2,47,0,2668869299,"[{""name"":""lab-worker-1"",""cpu"":""13.88%"",""mem"":""136.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.4MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""4.20%"",""mem"":""20.41MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.07%"",""mem"":""29.54MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""10.42%"",""mem"":""154.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""18.10%"",""mem"":""296.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.85%"",""mem"":""80.67MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""39.15%"",""mem"":""249MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.63%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""22.43%"",""mem"":""512MiB / 122.8GiB""}]"
2026-09-10T13:49:25Z,3,95,2,47,0,2668877491,"[{""name"":""lab-worker-1"",""cpu"":""10.40%"",""mem"":""136.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.4MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.61MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.07%"",""mem"":""29.79MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""7.53%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""18.49%"",""mem"":""298.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""5.32%"",""mem"":""80.67MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""36.49%"",""mem"":""249.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""7.87%"",""mem"":""726.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""21.63%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:28Z,4,92,2,47,0,2668885683,"[{""name"":""lab-worker-1"",""cpu"":""17.36%"",""mem"":""137.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.28%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""4.10%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""3.82%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""4.56%"",""mem"":""16.59MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.05%"",""mem"":""29.54MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.19%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""17.42%"",""mem"":""298.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.73%"",""mem"":""80.7MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""43.30%"",""mem"":""250.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""6.87%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""20.77%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:31Z,3,139,2,47,0,2668893875,"[{""name"":""lab-worker-1"",""cpu"":""11.84%"",""mem"":""136.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.09%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.09%"",""mem"":""29.55MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""6.91%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""25.36%"",""mem"":""296.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.79%"",""mem"":""80.71MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""39.08%"",""mem"":""251MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""6.74%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""38.05%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:34Z,3,136,2,47,0,2668902067,"[{""name"":""lab-worker-1"",""cpu"":""11.22%"",""mem"":""136.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.09%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.07%"",""mem"":""29.55MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""7.99%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""19.43%"",""mem"":""296.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.56%"",""mem"":""80.75MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""38.27%"",""mem"":""254.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""7.43%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""23.72%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:37Z,3,133,2,47,0,2668902067,"[{""name"":""lab-worker-1"",""cpu"":""13.67%"",""mem"":""136.8MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.86%"",""mem"":""145.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.19%"",""mem"":""21.05MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""4.13%"",""mem"":""18.07MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""4.02%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.07%"",""mem"":""29.55MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.94%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""17.71%"",""mem"":""298.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.00%"",""mem"":""80.72MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""36.46%"",""mem"":""254.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""13.09%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""23.74%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:40Z,3,130,2,47,0,2668902067,"[{""name"":""lab-worker-1"",""cpu"":""11.87%"",""mem"":""136.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""145.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.10%"",""mem"":""21.3MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.08%"",""mem"":""29.55MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""7.82%"",""mem"":""153.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""18.47%"",""mem"":""298.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.85%"",""mem"":""80.71MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""40.37%"",""mem"":""254.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""7.27%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""25.63%"",""mem"":""511.8MiB / 122.8GiB""}]"
2026-09-10T13:49:43Z,3,127,1,47,0,2668910259,"[{""name"":""lab-worker-1"",""cpu"":""11.11%"",""mem"":""136.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.01%"",""mem"":""145.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.10%"",""mem"":""21.29MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.01%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""3.27%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""3.32%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.09%"",""mem"":""29.55MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""7.41%"",""mem"":""149.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""18.77%"",""mem"":""298.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.78%"",""mem"":""80.96MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""36.55%"",""mem"":""254.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.02%"",""mem"":""726.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""20.90%"",""mem"":""512.1MiB / 122.8GiB""}]"
2026-09-10T13:49:46Z,3,124,1,47,0,2668934835,"[{""name"":""lab-worker-1"",""cpu"":""13.00%"",""mem"":""136.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.61%"",""mem"":""145.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.08%"",""mem"":""21.29MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.05MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.37MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.58MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.3MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.08%"",""mem"":""29.55MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.08%"",""mem"":""149.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""20.76%"",""mem"":""298.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.84%"",""mem"":""80.73MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""45.72%"",""mem"":""254.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""11.15%"",""mem"":""726.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""15.55%"",""mem"":""511.8MiB / 122.8GiB""}]"
