ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-10T14:08:33Z,0,0,0,0,0,2670081715,"[{""name"":""lab-worker-1"",""cpu"":""0.40%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.60%"",""mem"":""148.1MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.41MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.06MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.05%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.27%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""6.42%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""4.84%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.87%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:36Z,4,0,0,0,0,2670089907,"[{""name"":""lab-worker-1"",""cpu"":""0.22%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""3.35%"",""mem"":""148.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.41MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.07MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.08%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.30%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""6.94%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.68%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.16%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:39Z,3,0,0,0,0,2670089907,"[{""name"":""lab-worker-1"",""cpu"":""0.39%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.04%"",""mem"":""148.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.77%"",""mem"":""21.42MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""3.93%"",""mem"":""18.08MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""4.34%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""4.09%"",""mem"":""16.61MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""4.65%"",""mem"":""16.68MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.24%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.45%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.73%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.77%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:42Z,3,0,0,0,0,2670089907,"[{""name"":""lab-worker-1"",""cpu"":""0.42%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""3.41%"",""mem"":""148.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.41MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.01%"",""mem"":""18.06MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.08%"",""mem"":""16.61MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.31%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""7.13%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.85%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.85%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:45Z,3,0,0,0,0,2670089907,"[{""name"":""lab-worker-1"",""cpu"":""0.56%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.07%"",""mem"":""148.9MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""21.42MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.01%"",""mem"":""18.07MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.01%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.01%"",""mem"":""16.7MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.01%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.27%"",""mem"":""81.04MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.52%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.75%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.78%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:49Z,3,0,0,0,0,2670098099,"[{""name"":""lab-worker-1"",""cpu"":""0.88%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""1.60%"",""mem"":""149.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.41MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.06MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.09%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.25%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""7.09%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.64%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.64%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:52Z,4,0,0,0,0,2670098099,"[{""name"":""lab-worker-1"",""cpu"":""0.43%"",""mem"":""139.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.05%"",""mem"":""149.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.41MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.07MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.00%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.52MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""307.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.25%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.39%"",""mem"":""238.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.62%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.70%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:55Z,3,0,0,0,0,2670098099,"[{""name"":""lab-worker-1"",""cpu"":""0.31%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.50%"",""mem"":""149.5MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.86%"",""mem"":""21.42MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""4.29%"",""mem"":""18.07MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.01%"",""mem"":""20.46MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""3.79%"",""mem"":""16.61MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""3.78%"",""mem"":""16.55MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.00%"",""mem"":""23.75MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""305.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.26%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""3.46%"",""mem"":""245.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.63%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.71%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:08:58Z,3,0,1,0,0,2670098099,"[{""name"":""lab-worker-1"",""cpu"":""0.68%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""2.00%"",""mem"":""149.7MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.41MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.06MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.06%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.06%"",""mem"":""23.76MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""305.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.29%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.67%"",""mem"":""245.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.78%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.93%"",""mem"":""515.7MiB / 122.8GiB""}]"
2026-09-10T14:09:01Z,3,0,1,0,0,2670098099,"[{""name"":""lab-worker-1"",""cpu"":""0.50%"",""mem"":""139.6MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.48%"",""mem"":""149.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""21.42MiB / 122.8GiB""},{""name"":""lab-erli-stub"",""cpu"":""0.00%"",""mem"":""18.07MiB / 122.8GiB""},{""name"":""lab-eparagony-stub"",""cpu"":""0.04%"",""mem"":""20.45MiB / 122.8GiB""},{""name"":""lab-invoicing-stub"",""cpu"":""0.00%"",""mem"":""16.6MiB / 122.8GiB""},{""name"":""lab-shipping-stub"",""cpu"":""0.00%"",""mem"":""16.54MiB / 122.8GiB""},{""name"":""lab-eparagony-stub-tls"",""cpu"":""0.03%"",""mem"":""23.76MiB / 122.8GiB""},{""name"":""lab-erli-stub-tls"",""cpu"":""0.00%"",""mem"":""22.67MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""29.52MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""123.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""305.3MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.28%"",""mem"":""80.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""0.61%"",""mem"":""245.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.80%"",""mem"":""727.7MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""515.7MiB / 122.8GiB""}]"
