product,cycle,t0_ms,t1_ms,outbox_created_local,drain_http_status,drain_before_ms,drain_after_ms,outbox_delivered_utc,webhook_delivery_status,webhook_delivery_created_utc,inv_job_created_utc,inv_job_status,inv_job_outcome,inventory_items_updated_count,inventory_items_max_updated_utc,propagate_job_created_utc,propagate_job_status,propagate_job_outcome,offer_children_count,offer_child_created_utc,offer_child_status,offer_child_last_error,offer_child_completed_utc
20,0,1788876709946,1788876710015,2026-09-08 16:11:49,200,1788876710146,1788876710321,2026-09-08 14:11:50,job_enqueued,2026-09-08 14:11:50.294231+00,2026-09-08 14:11:50.294231+00,succeeded,ok,1,2026-09-08 14:11:51.703141,2026-09-08 14:11:51.715466+00,succeeded,ok,2,2026-09-08 14:11:52.099838+00,succeeded,,2026-09-08 14:11:53.24754+00
21,0,1788876714433,1788876714485,2026-09-08 16:11:54,200,1788876714615,1788876714721,2026-09-08 14:11:54,job_enqueued,2026-09-08 14:11:54.706365+00,2026-09-08 14:11:54.706365+00,succeeded,ok,1,2026-09-08 14:11:55.228243,2026-09-08 14:11:55.235764+00,succeeded,ok,2,2026-09-08 14:11:56.214047+00,succeeded,,2026-09-08 14:11:57.373333+00
22,0,1788876718817,1788876718908,2026-09-08 16:11:58,200,1788876719038,1788876719146,2026-09-08 14:11:59,job_enqueued,2026-09-08 14:11:59.130949+00,2026-09-08 14:11:59.130949+00,succeeded,ok,3,2026-09-08 14:11:59.36437,2026-09-08 14:11:59.350706+00,succeeded,ok,2,2026-09-08 14:12:00.323438+00,succeeded,,2026-09-08 14:12:01.456031+00
23,0,1788876723261,1788876723345,2026-09-08 16:12:03,200,1788876723480,1788876723586,2026-09-08 14:12:03,job_enqueued,2026-09-08 14:12:03.56988+00,2026-09-08 14:12:03.56988+00,succeeded,ok,2,2026-09-08 14:12:04.429132,2026-09-08 14:12:04.425431+00,succeeded,ok,2,2026-09-08 14:12:05.404541+00,succeeded,,2026-09-08 14:12:06.546877+00
24,0,1788876727714,1788876727790,2026-09-08 16:12:07,200,1788876727914,1788876728024,2026-09-08 14:12:08,job_enqueued,2026-09-08 14:12:08.008241+00,2026-09-08 14:12:08.008241+00,succeeded,ok,3,2026-09-08 14:12:08.538591,2026-09-08 14:12:08.527557+00,succeeded,ok,2,2026-09-08 14:12:09.480945+00,succeeded,,2026-09-08 14:12:10.625313+00
25,0,1788876732146,1788876732211,2026-09-08 16:12:12,200,1788876732338,1788876732443,2026-09-08 14:12:12,job_enqueued,2026-09-08 14:12:12.42704+00,2026-09-08 14:12:12.42704+00,succeeded,ok,1,2026-09-08 14:12:12.582527,2026-09-08 14:12:12.587888+00,succeeded,ok,2,2026-09-08 14:12:13.564508+00,succeeded,,2026-09-08 14:12:14.706551+00
20,1,1788876735452,1788876735506,2026-09-08 16:12:15,200,1788876735633,1788876735745,2026-09-08 14:12:15,job_enqueued,2026-09-08 14:12:15.728869+00,2026-09-08 14:12:15.728869+00,succeeded,ok,1,2026-09-08 14:12:16.65785,2026-09-08 14:12:16.662898+00,succeeded,ok,2,2026-09-08 14:12:17.647169+00,succeeded,,2026-09-08 14:12:18.791725+00
21,1,1788876739849,1788876739899,2026-09-08 16:12:19,200,1788876740035,1788876740142,2026-09-08 14:12:20,job_enqueued,2026-09-08 14:12:20.124523+00,2026-09-08 14:12:20.124523+00,succeeded,ok,1,2026-09-08 14:12:20.74216,2026-09-08 14:12:20.747581+00,succeeded,ok,2,2026-09-08 14:12:21.728883+00,succeeded,,2026-09-08 14:12:22.867826+00
22,1,1788876744264,1788876744350,2026-09-08 16:12:24,200,1788876744484,1788876744591,2026-09-08 14:12:24,job_enqueued,2026-09-08 14:12:24.576159+00,2026-09-08 14:12:24.576159+00,succeeded,ok,3,2026-09-08 14:12:24.835733,2026-09-08 14:12:24.82653+00,succeeded,ok,2,2026-09-08 14:12:25.799726+00,succeeded,,2026-09-08 14:12:26.938016+00
23,1,1788876748677,1788876748767,2026-09-08 16:12:28,200,1788876748908,1788876749012,2026-09-08 14:12:29,job_enqueued,2026-09-08 14:12:28.997153+00,2026-09-08 14:12:28.997153+00,succeeded,ok,2,2026-09-08 14:12:29.917826,2026-09-08 14:12:29.914156+00,succeeded,ok,2,2026-09-08 14:12:30.88386+00,succeeded,,2026-09-08 14:12:32.022411+00
24,1,1788876753148,1788876753228,2026-09-08 16:12:33,200,1788876753363,1788876753466,2026-09-08 14:12:33,job_enqueued,2026-09-08 14:12:33.4507+00,2026-09-08 14:12:33.4507+00,succeeded,ok,3,2026-09-08 14:12:34.007769,2026-09-08 14:12:33.998209+00,succeeded,ok,2,2026-09-08 14:12:34.960727+00,succeeded,,2026-09-08 14:12:36.096762+00
25,1,1788876757582,1788876757633,2026-09-08 16:12:37,200,1788876757761,1788876757869,2026-09-08 14:12:37,job_enqueued,2026-09-08 14:12:37.851537+00,2026-09-08 14:12:37.851537+00,succeeded,ok,1,2026-09-08 14:12:38.05427,2026-09-08 14:12:38.059138+00,succeeded,ok,2,2026-09-08 14:12:39.032268+00,succeeded,,2026-09-08 14:12:40.174366+00
20,2,1788876761983,1788876762035,2026-09-08 16:12:42,200,1788876762163,1788876762253,2026-09-08 14:12:42,job_enqueued,2026-09-08 14:12:42.241101+00,2026-09-08 14:12:42.241101+00,succeeded,ok,1,2026-09-08 14:12:43.120344,2026-09-08 14:12:43.124559+00,succeeded,ok,2,2026-09-08 14:12:44.111855+00,succeeded,,2026-09-08 14:12:45.247414+00
21,2,1788876766371,1788876766420,2026-09-08 16:12:46,200,1788876766549,1788876766657,2026-09-08 14:12:46,job_enqueued,2026-09-08 14:12:46.641428+00,2026-09-08 14:12:46.641428+00,succeeded,ok,1,2026-09-08 14:12:47.186563,2026-09-08 14:12:47.190221+00,succeeded,ok,2,2026-09-08 14:12:48.17292+00,succeeded,,2026-09-08 14:12:49.316994+00
22,2,1788876770816,1788876770905,2026-09-08 16:12:50,200,1788876771041,1788876771135,2026-09-08 14:12:51,job_enqueued,2026-09-08 14:12:51.119675+00,2026-09-08 14:12:51.119675+00,succeeded,ok,3,2026-09-08 14:12:51.291027,2026-09-08 14:12:51.282582+00,succeeded,ok,2,2026-09-08 14:12:52.254414+00,succeeded,,2026-09-08 14:12:53.382106+00
23,2,1788876775226,1788876775319,2026-09-08 16:12:55,200,1788876775456,1788876775553,2026-09-08 14:12:55,job_enqueued,2026-09-08 14:12:55.536705+00,2026-09-08 14:12:55.536705+00,succeeded,ok,2,2026-09-08 14:12:56.351633,2026-09-08 14:12:56.348075+00,succeeded,ok,2,2026-09-08 14:12:57.326358+00,succeeded,,2026-09-08 14:12:58.457481+00
24,2,1788876779673,1788876779758,2026-09-08 16:12:59,200,1788876779895,1788876779997,2026-09-08 14:12:59,job_enqueued,2026-09-08 14:12:59.980373+00,2026-09-08 14:12:59.980373+00,succeeded,ok,3,2026-09-08 14:13:00.445255,2026-09-08 14:13:00.436922+00,succeeded,ok,2,2026-09-08 14:13:01.39664+00,succeeded,,2026-09-08 14:13:02.534899+00
25,2,1788876784146,1788876784196,2026-09-08 16:13:04,200,1788876784323,1788876784427,2026-09-08 14:13:04,job_enqueued,2026-09-08 14:13:04.411012+00,2026-09-08 14:13:04.411012+00,succeeded,ok,1,2026-09-08 14:13:04.48376,2026-09-08 14:13:04.488255+00,succeeded,ok,2,2026-09-08 14:13:05.472637+00,succeeded,,2026-09-08 14:13:06.61076+00
20,3,1788876787391,1788876787443,2026-09-08 16:13:07,200,1788876787561,1788876787662,2026-09-08 14:13:07,job_enqueued,2026-09-08 14:13:07.647479+00,2026-09-08 14:13:07.647479+00,succeeded,ok,1,2026-09-08 14:13:08.559319,2026-09-08 14:13:08.563392+00,succeeded,ok,2,2026-09-08 14:13:09.548457+00,succeeded,,2026-09-08 14:13:10.689612+00
21,3,1788876791805,1788876791857,2026-09-08 16:13:11,200,1788876791986,1788876792091,2026-09-08 14:13:12,job_enqueued,2026-09-08 14:13:12.074+00,2026-09-08 14:13:12.074+00,succeeded,ok,1,2026-09-08 14:13:12.630747,2026-09-08 14:13:12.634906+00,succeeded,ok,2,2026-09-08 14:13:13.613493+00,succeeded,,2026-09-08 14:13:14.753644+00
22,3,1788876796191,1788876796274,2026-09-08 16:13:16,200,1788876796411,1788876796506,2026-09-08 14:13:16,job_enqueued,2026-09-08 14:13:16.490653+00,2026-09-08 14:13:16.490653+00,succeeded,ok,3,2026-09-08 14:13:16.72842,2026-09-08 14:13:16.720323+00,succeeded,ok,2,2026-09-08 14:13:17.686811+00,succeeded,,2026-09-08 14:13:18.827873+00
23,3,1788876800563,1788876800649,2026-09-08 16:13:20,200,1788876800784,1788876800878,2026-09-08 14:13:20,job_enqueued,2026-09-08 14:13:20.864715+00,2026-09-08 14:13:20.864715+00,succeeded,ok,2,2026-09-08 14:13:21.799052,2026-09-08 14:13:21.795501+00,succeeded,ok,2,2026-09-08 14:13:22.763248+00,succeeded,,2026-09-08 14:13:23.9002+00
24,3,1788876804966,1788876805047,2026-09-08 16:13:24,200,1788876805177,1788876805279,2026-09-08 14:13:25,job_enqueued,2026-09-08 14:13:25.262518+00,2026-09-08 14:13:25.262518+00,succeeded,ok,3,2026-09-08 14:13:25.87818,2026-09-08 14:13:25.871653+00,succeeded,ok,2,2026-09-08 14:13:26.835122+00,succeeded,,2026-09-08 14:13:27.970734+00
