ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:04:20Z,,,0,1
2026-09-08T12:04:21Z,,,0,1
2026-09-08T12:04:22Z,,,0,2
2026-09-08T12:04:23Z,,,0,2
2026-09-08T12:04:25Z,,,0,3
2026-09-08T12:04:26Z,,,0,3
2026-09-08T12:04:27Z,,,0,3
2026-09-08T12:04:28Z,,,0,3
2026-09-08T12:04:30Z,,,0,3
2026-09-08T12:04:31Z,,,0,3
2026-09-08T12:04:32Z,,,0,3
2026-09-08T12:04:33Z,,,0,3
2026-09-08T12:04:34Z,,,0,3
2026-09-08T12:04:36Z,,,0,3
2026-09-08T12:04:37Z,,,0,4
2026-09-08T12:04:38Z,,,0,4
2026-09-08T12:04:39Z,,,0,4
2026-09-08T12:04:41Z,,,0,4
2026-09-08T12:04:42Z,,,0,4
2026-09-08T12:04:43Z,,,0,4
2026-09-08T12:04:44Z,,,0,4
2026-09-08T12:04:45Z,,,0,4
2026-09-08T12:04:47Z,,,0,4
2026-09-08T12:04:48Z,,,0,5
2026-09-08T12:04:49Z,,,0,5
2026-09-08T12:04:50Z,,,0,5
2026-09-08T12:04:52Z,,,0,6
2026-09-08T12:04:53Z,,,0,6
2026-09-08T12:04:54Z,,,0,6
2026-09-08T12:04:55Z,,,0,6
2026-09-08T12:04:56Z,,,0,7
2026-09-08T12:04:58Z,,,0,7
2026-09-08T12:04:59Z,,,0,7
2026-09-08T12:05:00Z,,,0,7
2026-09-08T12:05:01Z,,,0,7
2026-09-08T12:05:03Z,,,0,7
2026-09-08T12:05:04Z,,,0,7
2026-09-08T12:05:05Z,,,0,7
2026-09-08T12:05:06Z,,,0,7
2026-09-08T12:05:07Z,,,0,7
2026-09-08T12:05:09Z,,,0,6
2026-09-08T12:05:10Z,LWLock:WALWrite:1,,,7
2026-09-08T12:05:11Z,,,0,7
2026-09-08T12:05:12Z,,,0,7
2026-09-08T12:05:14Z,,,0,7
2026-09-08T12:05:15Z,,,0,7
2026-09-08T12:05:16Z,,,0,7
2026-09-08T12:05:17Z,,,0,7
2026-09-08T12:05:18Z,,,0,7
2026-09-08T12:05:20Z,,,0,7
2026-09-08T12:05:21Z,,,0,9
2026-09-08T12:05:22Z,,,0,9
2026-09-08T12:05:23Z,,,0,9
2026-09-08T12:05:24Z,,,0,9
2026-09-08T12:05:26Z,,,0,9
2026-09-08T12:05:27Z,,,0,9
2026-09-08T12:05:28Z,,,0,9
2026-09-08T12:05:29Z,,,0,9
2026-09-08T12:05:31Z,,,0,7
2026-09-08T12:05:32Z,,,0,7
2026-09-08T12:05:33Z,,,0,7
2026-09-08T12:05:34Z,,,0,9
2026-09-08T12:05:35Z,,,0,9
2026-09-08T12:05:37Z,,,0,9
2026-09-08T12:05:38Z,,,0,9
2026-09-08T12:05:39Z,,,0,9
2026-09-08T12:05:40Z,,,0,9
2026-09-08T12:05:42Z,,,0,9
2026-09-08T12:05:43Z,,,0,9
2026-09-08T12:05:44Z,,,0,7
2026-09-08T12:05:45Z,,,0,7
2026-09-08T12:05:46Z,,,0,7
2026-09-08T12:05:48Z,,,0,7
2026-09-08T12:05:49Z,,,0,7
2026-09-08T12:05:50Z,,,0,7
2026-09-08T12:05:51Z,,,0,7
2026-09-08T12:05:53Z,,,0,7
2026-09-08T12:05:54Z,,,0,7
2026-09-08T12:05:55Z,,,0,6
2026-09-08T12:05:56Z,,,0,6
2026-09-08T12:05:57Z,,,0,6
2026-09-08T12:05:59Z,,,0,6
2026-09-08T12:06:00Z,,,0,6
2026-09-08T12:06:01Z,,,0,6
2026-09-08T12:06:02Z,,,0,6
2026-09-08T12:06:04Z,,,0,6
2026-09-08T12:06:05Z,,,0,6
2026-09-08T12:06:06Z,,,0,6
2026-09-08T12:06:07Z,,,0,6
2026-09-08T12:06:08Z,,,0,6
2026-09-08T12:06:10Z,,,0,6
2026-09-08T12:06:11Z,,,0,7
2026-09-08T12:06:12Z,,,0,7
2026-09-08T12:06:13Z,,,0,7
2026-09-08T12:06:15Z,,,0,8
2026-09-08T12:06:16Z,,,0,8
2026-09-08T12:06:17Z,,,0,8
2026-09-08T12:06:18Z,,,0,8
2026-09-08T12:06:19Z,,,0,8
2026-09-08T12:06:21Z,,,0,8
2026-09-08T12:06:22Z,,,0,8
2026-09-08T12:06:23Z,,,0,8
2026-09-08T12:06:24Z,,,0,8
2026-09-08T12:06:26Z,,,0,7
2026-09-08T12:06:27Z,,,0,7
2026-09-08T12:06:28Z,,,0,7
2026-09-08T12:06:29Z,,,0,7
2026-09-08T12:06:30Z,,,0,7
2026-09-08T12:06:32Z,,,0,9
2026-09-08T12:06:33Z,,,0,9
2026-09-08T12:06:34Z,,,0,9
2026-09-08T12:06:35Z,,,0,9
2026-09-08T12:06:37Z,,,0,9
2026-09-08T12:06:38Z,,,0,9
2026-09-08T12:06:39Z,,,0,9
2026-09-08T12:06:40Z,,,0,9
2026-09-08T12:06:41Z,,,0,6
2026-09-08T12:06:43Z,,,0,7
2026-09-08T12:06:44Z,,,0,7
2026-09-08T12:06:45Z,,,0,7
2026-09-08T12:06:46Z,,,0,7
2026-09-08T12:06:48Z,,,0,7
2026-09-08T12:06:49Z,,,0,7
2026-09-08T12:06:50Z,,,0,7
2026-09-08T12:06:51Z,,,0,7
2026-09-08T12:06:52Z,,,0,6
2026-09-08T12:06:54Z,,,0,6
2026-09-08T12:06:55Z,,,0,6
2026-09-08T12:06:56Z,,,0,6
2026-09-08T12:06:57Z,,,0,6
2026-09-08T12:06:59Z,,,0,5
2026-09-08T12:07:00Z,,,0,5
2026-09-08T12:07:01Z,,,0,5
2026-09-08T12:07:02Z,,,0,5
2026-09-08T12:07:03Z,,,0,4
2026-09-08T12:07:05Z,,,0,4
2026-09-08T12:07:06Z,,,0,4
