ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T12:00:30Z,0,0,0,1,0,205657779,"[{""name"":""lab-worker-1"",""cpu"":""0.07%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""184.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""59.86MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.26%"",""mem"":""12.23MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""11.07%"",""mem"":""166.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.72%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.78%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.06MiB / 122.8GiB""},{""name"":""mystifying_fermi"",""cpu"":""159.72%"",""mem"":""316.8MiB / 122.8GiB""}]"
2026-09-08T12:00:33Z,4,5,0,1,0,205657779,"[{""name"":""mystifying_fermi"",""cpu"":""6.75%"",""mem"":""321.9MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""16.36%"",""mem"":""186.8MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""59.86MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.95%"",""mem"":""12.49MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""21.12%"",""mem"":""171MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.84%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.76%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:00:37Z,3,110,0,1,0,205887155,"[{""name"":""mystifying_fermi"",""cpu"":""8.84%"",""mem"":""322.7MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""33.77%"",""mem"":""184.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.86MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.51%"",""mem"":""12.77MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""27.15%"",""mem"":""173MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.74%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.77%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.77%"",""mem"":""19.21MiB / 122.8GiB""}]"
2026-09-08T12:00:41Z,4,351,0,1,0,206345907,"[{""name"":""mystifying_fermi"",""cpu"":""10.62%"",""mem"":""322.8MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.08%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""40.64%"",""mem"":""188.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""59.86MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.03%"",""mem"":""12.52MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""33.16%"",""mem"":""172.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.76%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:00:45Z,4,732,0,1,1,207034035,"[{""name"":""mystifying_fermi"",""cpu"":""12.90%"",""mem"":""322.6MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""66.42%"",""mem"":""187.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.86MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.96%"",""mem"":""12.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""39.16%"",""mem"":""173.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.72%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.65%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:00:48Z,4,1249,0,1,0,207951539,"[{""name"":""mystifying_fermi"",""cpu"":""14.58%"",""mem"":""322.7MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""50.14%"",""mem"":""192.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.59%"",""mem"":""12.87MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""46.47%"",""mem"":""170.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""4.95%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.63%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:00:52Z,3,1900,0,1,1,209245875,"[{""name"":""mystifying_fermi"",""cpu"":""17.77%"",""mem"":""322.9MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""46.00%"",""mem"":""194.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.30%"",""mem"":""13.24MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""55.17%"",""mem"":""173.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.70%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:00:56Z,4,2683,0,1,2,210810547,"[{""name"":""mystifying_fermi"",""cpu"":""20.64%"",""mem"":""323.2MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.09%"",""mem"":""92.53MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""48.19%"",""mem"":""202MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.38%"",""mem"":""12.9MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""60.61%"",""mem"":""173.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.69%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.71%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:00:59Z,4,3609,0,1,2,212522675,"[{""name"":""mystifying_fermi"",""cpu"":""26.15%"",""mem"":""323MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.03%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""62.22%"",""mem"":""218.9MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""176.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.06%"",""mem"":""13.31MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""73.68%"",""mem"":""175.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.64%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.61%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.05MiB / 122.8GiB""}]"
2026-09-08T12:01:03Z,3,4668,0,1,2,214587059,"[{""name"":""mystifying_fermi"",""cpu"":""25.77%"",""mem"":""321.9MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.29MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""54.59%"",""mem"":""220.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""178.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""8.21%"",""mem"":""13.52MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""74.53%"",""mem"":""177.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.60%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.30%"",""mem"":""481.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.13%"",""mem"":""19.1MiB / 122.8GiB""}]"
