ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:34:40Z,,,0,1
2026-09-08T12:34:41Z,,,0,41
2026-09-08T12:34:43Z,,,0,41
2026-09-08T12:34:44Z,,,0,41
2026-09-08T12:34:45Z,,,0,41
2026-09-08T12:34:46Z,,,0,41
2026-09-08T12:34:47Z,,,0,41
2026-09-08T12:34:49Z,,,0,41
2026-09-08T12:34:50Z,,,0,41
2026-09-08T12:34:51Z,,,0,41
2026-09-08T12:34:52Z,,,0,41
2026-09-08T12:34:54Z,,,0,41
2026-09-08T12:34:55Z,,,0,41
2026-09-08T12:34:56Z,,,0,41
2026-09-08T12:34:57Z,,,0,41
2026-09-08T12:34:58Z,,,0,41
2026-09-08T12:35:00Z,,,0,41
2026-09-08T12:35:01Z,,,0,41
