ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-08T12:22:43Z,0,0,0,1,0,342234803,"[{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""139.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""14.04%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.20%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""12.51%"",""mem"":""173.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.69%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""4.84%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""},{""name"":""inspiring_keldysh"",""cpu"":""127.59%"",""mem"":""494.7MiB / 122.8GiB""}]"
2026-09-08T12:22:47Z,4,0,0,1,0,342234803,"[{""name"":""inspiring_keldysh"",""cpu"":""8.21%"",""mem"":""503.7MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""46.68%"",""mem"":""145.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.68%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""20.48%"",""mem"":""177.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.38%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.78%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.47%"",""mem"":""19.1MiB / 122.8GiB""}]"
2026-09-08T12:22:50Z,4,133,0,1,0,342357683,"[{""name"":""inspiring_keldysh"",""cpu"":""11.09%"",""mem"":""504.1MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.04%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""54.74%"",""mem"":""174.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.90%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""41.30%"",""mem"":""182.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.72%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.61%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:22:54Z,3,545,0,1,0,342742707,"[{""name"":""inspiring_keldysh"",""cpu"":""15.60%"",""mem"":""504.2MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""66.42%"",""mem"":""183.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.71%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""58.21%"",""mem"":""182.2MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.57%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:22:58Z,4,1229,0,1,0,343373491,"[{""name"":""inspiring_keldysh"",""cpu"":""23.39%"",""mem"":""504.6MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""61.89%"",""mem"":""191.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.39%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""71.69%"",""mem"":""182.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.66%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.76%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:23:01Z,4,2187,0,1,2,344258227,"[{""name"":""inspiring_keldysh"",""cpu"":""27.96%"",""mem"":""543.6MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""76.87%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.97%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""98.75%"",""mem"":""187.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.63%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.62%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:23:05Z,3,3406,0,1,2,345405107,"[{""name"":""inspiring_keldysh"",""cpu"":""48.69%"",""mem"":""580.6MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""76.68%"",""mem"":""214.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""5.12%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""115.91%"",""mem"":""191.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.62%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.68%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:23:09Z,4,4913,0,1,2,346756787,"[{""name"":""inspiring_keldysh"",""cpu"":""38.97%"",""mem"":""580.6MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""91.55%"",""mem"":""273.9MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""5.04%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""131.30%"",""mem"":""195.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.61%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.64%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:23:13Z,4,6693,0,1,0,348452531,"[{""name"":""inspiring_keldysh"",""cpu"":""40.61%"",""mem"":""580.5MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""104.36%"",""mem"":""274.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""15.08%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.99%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""161.63%"",""mem"":""226.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.64%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""2.18%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.11%"",""mem"":""19.08MiB / 122.8GiB""}]"
2026-09-08T12:23:16Z,4,8740,0,1,4,350369459,"[{""name"":""inspiring_keldysh"",""cpu"":""40.94%"",""mem"":""517.9MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""92.64MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""105.24%"",""mem"":""300.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""23.07MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""59.85MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""197.6MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""4.87%"",""mem"":""35.16MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""159.93%"",""mem"":""243MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.31%"",""mem"":""503.2MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.65%"",""mem"":""482.8MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""19.08MiB / 122.8GiB""}]"
