ts,wait_event_type,wait_event,waiters,active_connections
2026-09-08T12:26:34Z,,,0,1
2026-09-08T12:26:35Z,,,0,1
2026-09-08T12:26:37Z,,,0,1
2026-09-08T12:26:38Z,,,0,2
2026-09-08T12:26:39Z,,,0,2
2026-09-08T12:26:40Z,,,0,4
2026-09-08T12:26:41Z,,,0,4
2026-09-08T12:26:43Z,,,0,4
2026-09-08T12:26:44Z,,,0,4
2026-09-08T12:26:45Z,,,0,4
2026-09-08T12:26:46Z,,,0,4
2026-09-08T12:26:48Z,,,0,4
2026-09-08T12:26:49Z,,,0,5
2026-09-08T12:26:50Z,,,0,5
2026-09-08T12:26:51Z,,,0,5
2026-09-08T12:26:52Z,,,0,6
2026-09-08T12:26:54Z,,,0,6
2026-09-08T12:26:55Z,,,0,7
2026-09-08T12:26:56Z,,,0,7
2026-09-08T12:26:57Z,,,0,10
2026-09-08T12:26:59Z,,,0,10
2026-09-08T12:27:00Z,,,0,13
2026-09-08T12:27:01Z,,,0,13
2026-09-08T12:27:02Z,,,0,15
2026-09-08T12:27:03Z,,,0,27
2026-09-08T12:27:05Z,,,0,27
2026-09-08T12:27:06Z,,,0,28
2026-09-08T12:27:07Z,,,0,41
2026-09-08T12:27:08Z,,,0,41
2026-09-08T12:27:10Z,,,0,41
2026-09-08T12:27:11Z,,,0,41
2026-09-08T12:27:12Z,,,0,41
2026-09-08T12:27:13Z,,,0,41
2026-09-08T12:27:14Z,,,0,41
2026-09-08T12:27:16Z,,,0,41
2026-09-08T12:27:17Z,,,0,41
2026-09-08T12:27:18Z,,,0,41
2026-09-08T12:27:19Z,,,0,41
2026-09-08T12:27:21Z,,,0,41
2026-09-08T12:27:22Z,,,0,41
2026-09-08T12:27:23Z,,,0,41
2026-09-08T12:27:24Z,,,0,41
2026-09-08T12:27:25Z,,,0,41
2026-09-08T12:27:27Z,,,0,41
2026-09-08T12:27:28Z,,,0,41
2026-09-08T12:27:29Z,,,0,37
2026-09-08T12:27:30Z,,,0,37
2026-09-08T12:27:32Z,,,0,32
2026-09-08T12:27:33Z,,,0,41
2026-09-08T12:27:34Z,,,0,41
2026-09-08T12:27:35Z,,,0,41
2026-09-08T12:27:36Z,,,0,41
2026-09-08T12:27:38Z,,,0,41
2026-09-08T12:27:39Z,,,0,41
2026-09-08T12:27:40Z,,,0,41
2026-09-08T12:27:41Z,,,0,41
2026-09-08T12:27:43Z,,,0,41
2026-09-08T12:27:44Z,,,0,41
2026-09-08T12:27:45Z,,,0,41
2026-09-08T12:27:46Z,,,0,41
2026-09-08T12:27:47Z,,,0,41
2026-09-08T12:27:49Z,,,0,41
2026-09-08T12:27:50Z,,,0,41
2026-09-08T12:27:51Z,,,0,41
2026-09-08T12:27:52Z,,,0,41
2026-09-08T12:27:54Z,,,0,41
2026-09-08T12:27:55Z,,,0,41
2026-09-08T12:27:56Z,,,0,41
2026-09-08T12:27:57Z,,,0,38
2026-09-08T12:27:58Z,,,0,41
2026-09-08T12:28:00Z,,,0,41
2026-09-08T12:28:01Z,,,0,41
2026-09-08T12:28:02Z,,,0,41
2026-09-08T12:28:03Z,,,0,41
2026-09-08T12:28:05Z,,,0,41
2026-09-08T12:28:06Z,,,0,41
2026-09-08T12:28:07Z,,,0,41
2026-09-08T12:28:08Z,,,0,41
2026-09-08T12:28:09Z,,,0,41
2026-09-08T12:28:11Z,,,0,41
2026-09-08T12:28:12Z,,,0,41
2026-09-08T12:28:13Z,,,0,41
2026-09-08T12:28:14Z,,,0,41
2026-09-08T12:28:16Z,,,0,41
2026-09-08T12:28:17Z,,,0,41
2026-09-08T12:28:18Z,,,0,41
2026-09-08T12:28:19Z,,,0,41
2026-09-08T12:28:20Z,,,0,41
2026-09-08T12:28:22Z,,,0,41
2026-09-08T12:28:23Z,,,0,41
2026-09-08T12:28:24Z,,,0,42
2026-09-08T12:28:25Z,,,0,41
2026-09-08T12:28:27Z,,,0,41
2026-09-08T12:28:28Z,,,0,41
2026-09-08T12:28:29Z,,,0,41
2026-09-08T12:28:30Z,,,0,41
2026-09-08T12:28:31Z,,,0,41
2026-09-08T12:28:33Z,,,0,41
2026-09-08T12:28:34Z,,,0,41
2026-09-08T12:28:35Z,,,0,41
2026-09-08T12:28:36Z,,,0,41
2026-09-08T12:28:38Z,,,0,41
2026-09-08T12:28:39Z,,,0,42
2026-09-08T12:28:40Z,,,0,42
2026-09-08T12:28:41Z,,,0,42
2026-09-08T12:28:42Z,,,0,42
2026-09-08T12:28:44Z,,,0,42
2026-09-08T12:28:45Z,,,0,42
2026-09-08T12:28:46Z,,,0,42
2026-09-08T12:28:47Z,,,0,42
2026-09-08T12:28:49Z,,,0,42
2026-09-08T12:28:50Z,,,0,41
2026-09-08T12:28:51Z,,,0,41
2026-09-08T12:28:52Z,,,0,41
2026-09-08T12:28:53Z,,,0,41
2026-09-08T12:28:55Z,,,0,41
2026-09-08T12:28:56Z,,,0,41
2026-09-08T12:28:57Z,,,0,41
2026-09-08T12:28:58Z,,,0,41
2026-09-08T12:29:00Z,,,0,41
2026-09-08T12:29:01Z,,,0,41
2026-09-08T12:29:02Z,,,0,41
2026-09-08T12:29:03Z,,,0,41
2026-09-08T12:29:04Z,,,0,41
2026-09-08T12:29:06Z,,,0,41
2026-09-08T12:29:07Z,,,0,41
2026-09-08T12:29:08Z,,,0,41
2026-09-08T12:29:09Z,,,0,41
2026-09-08T12:29:11Z,,,0,41
2026-09-08T12:29:12Z,,,0,41
2026-09-08T12:29:13Z,,,0,41
2026-09-08T12:29:14Z,,,0,41
2026-09-08T12:29:15Z,,,0,41
2026-09-08T12:29:17Z,,,0,23
2026-09-08T12:29:18Z,,,0,16
2026-09-08T12:29:19Z,,,0,13
2026-09-08T12:29:20Z,,,0,10
2026-09-08T12:29:21Z,,,0,9
