ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-09T05:33:56Z,0,0,0,224,0,2640934579,"[{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""137.8MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""198.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.24%"",""mem"":""54.25MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""12.42%"",""mem"":""237MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.74%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.75%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""29.68MiB / 122.8GiB""},{""name"":""reverent_montalcini"",""cpu"":""167.15%"",""mem"":""302.5MiB / 122.8GiB""}]"
2026-09-09T05:34:00Z,3,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""7.28%"",""mem"":""301.2MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.36%"",""mem"":""91.45MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""52.08%"",""mem"":""147.1MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""12.08%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.86%"",""mem"":""54.25MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""24.77%"",""mem"":""241.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.75%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.97%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""29.67MiB / 122.8GiB""}]"
2026-09-09T05:34:04Z,4,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""13.37%"",""mem"":""302.2MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.07%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""63.60%"",""mem"":""157.9MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""5.48%"",""mem"":""54.01MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""32.05%"",""mem"":""243.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.72%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.75%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T05:34:07Z,4,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""10.96%"",""mem"":""302.8MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""91.45MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""53.07%"",""mem"":""176.8MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""1.83%"",""mem"":""54.01MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""42.76%"",""mem"":""243.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.71%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.67%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T05:34:11Z,3,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""13.90%"",""mem"":""303.1MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""55.35%"",""mem"":""180.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.26%"",""mem"":""54.25MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""51.27%"",""mem"":""243.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.73%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.69%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T05:34:15Z,4,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""16.93%"",""mem"":""302.9MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.08%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""69.97%"",""mem"":""188.6MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.71%"",""mem"":""54.01MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""62.43%"",""mem"":""245.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.78%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.73%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T05:34:19Z,4,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""17.88%"",""mem"":""303MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""73.79%"",""mem"":""192.4MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.93%"",""mem"":""54.01MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""67.39%"",""mem"":""245.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""5.29%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.67%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""29.68MiB / 122.8GiB""}]"
2026-09-09T05:34:22Z,4,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""23.87%"",""mem"":""303.4MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""58.62%"",""mem"":""199.9MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.01%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.56%"",""mem"":""54.25MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""78.62%"",""mem"":""246.3MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.68%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.11%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.14%"",""mem"":""29.72MiB / 122.8GiB""}]"
2026-09-09T05:34:26Z,3,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""26.02%"",""mem"":""303.4MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.00%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""82.18%"",""mem"":""212.9MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.1MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.49%"",""mem"":""54.01MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""86.78%"",""mem"":""248.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.58%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.64%"",""mem"":""485.2MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.15%"",""mem"":""31.42MiB / 122.8GiB""}]"
2026-09-09T05:34:30Z,4,5,0,224,0,2640934579,"[{""name"":""reverent_montalcini"",""cpu"":""25.40%"",""mem"":""303.4MiB / 122.8GiB""},{""name"":""lab-worker-1"",""cpu"":""0.08%"",""mem"":""91.41MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""61.64%"",""mem"":""223.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""0.00%"",""mem"":""111.9MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""20.19%"",""mem"":""198.5MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""3.76%"",""mem"":""54.01MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""89.30%"",""mem"":""256.1MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""0.69%"",""mem"":""679.5MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""4.76%"",""mem"":""485.3MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""29.68MiB / 122.8GiB""}]"
