ts,wait_event_type,wait_event,waiters,active_connections
2026-09-09T05:26:11Z,,,0,1
2026-09-09T05:26:12Z,,,0,1
2026-09-09T05:26:13Z,,,0,2
2026-09-09T05:26:14Z,,,0,2
2026-09-09T05:26:15Z,,,0,3
2026-09-09T05:26:17Z,,,0,3
2026-09-09T05:26:18Z,,,0,4
2026-09-09T05:26:19Z,,,0,4
2026-09-09T05:26:20Z,,,0,5
2026-09-09T05:26:22Z,,,0,5
2026-09-09T05:26:23Z,,,0,5
2026-09-09T05:26:24Z,,,0,5
2026-09-09T05:26:25Z,,,0,5
2026-09-09T05:26:26Z,,,0,5
2026-09-09T05:26:28Z,,,0,5
2026-09-09T05:26:29Z,,,0,5
2026-09-09T05:26:30Z,,,0,3
2026-09-09T05:26:31Z,,,0,6
2026-09-09T05:26:33Z,,,0,6
2026-09-09T05:26:34Z,,,0,7
2026-09-09T05:26:35Z,,,0,7
2026-09-09T05:26:36Z,,,0,7
2026-09-09T05:26:37Z,,,0,7
2026-09-09T05:26:39Z,,,0,28
2026-09-09T05:26:40Z,,,0,28
2026-09-09T05:26:41Z,,,0,28
2026-09-09T05:26:42Z,,,0,28
2026-09-09T05:26:44Z,,,0,28
2026-09-09T05:26:45Z,,,0,28
2026-09-09T05:26:46Z,,,0,28
2026-09-09T05:26:47Z,,,0,28
2026-09-09T05:26:48Z,,,0,28
2026-09-09T05:26:50Z,,,0,9
2026-09-09T05:26:51Z,,,0,8
2026-09-09T05:26:52Z,,,0,6
2026-09-09T05:26:53Z,,,0,6
2026-09-09T05:26:55Z,,,0,6
2026-09-09T05:26:56Z,,,0,6
2026-09-09T05:26:57Z,,,0,6
2026-09-09T05:26:58Z,,,0,6
2026-09-09T05:26:59Z,,,0,6
2026-09-09T05:27:01Z,,,0,6
2026-09-09T05:27:02Z,,,0,6
2026-09-09T05:27:03Z,,,0,6
2026-09-09T05:27:04Z,,,0,6
2026-09-09T05:27:06Z,,,0,6
2026-09-09T05:27:07Z,,,0,6
2026-09-09T05:27:08Z,,,0,6
2026-09-09T05:27:09Z,,,0,6
2026-09-09T05:27:10Z,,,0,6
2026-09-09T05:27:12Z,,,0,6
2026-09-09T05:27:13Z,,,0,6
2026-09-09T05:27:14Z,,,0,7
2026-09-09T05:27:15Z,,,0,7
2026-09-09T05:27:17Z,,,0,8
2026-09-09T05:27:18Z,,,0,7
2026-09-09T05:27:19Z,,,0,7
2026-09-09T05:27:20Z,,,0,7
2026-09-09T05:27:21Z,,,0,7
2026-09-09T05:27:23Z,,,0,7
2026-09-09T05:27:24Z,,,0,7
2026-09-09T05:27:25Z,,,0,7
2026-09-09T05:27:26Z,,,0,7
2026-09-09T05:27:27Z,,,0,7
2026-09-09T05:27:29Z,,,0,6
2026-09-09T05:27:30Z,,,0,6
2026-09-09T05:27:31Z,,,0,7
2026-09-09T05:27:32Z,,,0,7
2026-09-09T05:27:34Z,,,0,7
2026-09-09T05:27:35Z,,,0,7
2026-09-09T05:27:36Z,,,0,7
2026-09-09T05:27:37Z,,,0,7
2026-09-09T05:27:38Z,,,0,7
2026-09-09T05:27:40Z,,,0,7
2026-09-09T05:27:41Z,,,0,7
2026-09-09T05:27:42Z,,,0,7
2026-09-09T05:27:43Z,,,0,7
2026-09-09T05:27:45Z,,,0,7
2026-09-09T05:27:46Z,,,0,7
2026-09-09T05:27:47Z,,,0,7
2026-09-09T05:27:48Z,,,0,7
2026-09-09T05:27:49Z,,,0,7
2026-09-09T05:27:51Z,,,0,7
2026-09-09T05:27:52Z,,,0,7
2026-09-09T05:27:53Z,,,0,7
2026-09-09T05:27:54Z,,,0,7
2026-09-09T05:27:56Z,,,0,7
2026-09-09T05:27:57Z,,,0,7
2026-09-09T05:27:58Z,,,0,7
2026-09-09T05:27:59Z,,,0,7
2026-09-09T05:28:00Z,,,0,6
2026-09-09T05:28:02Z,,,0,6
2026-09-09T05:28:03Z,,,0,7
2026-09-09T05:28:04Z,,,0,7
2026-09-09T05:28:05Z,,,0,7
2026-09-09T05:28:07Z,,,0,7
2026-09-09T05:28:08Z,,,0,7
2026-09-09T05:28:09Z,,,0,7
2026-09-09T05:28:10Z,,,0,7
2026-09-09T05:28:11Z,,,0,7
2026-09-09T05:28:13Z,,,0,7
2026-09-09T05:28:14Z,,,0,7
2026-09-09T05:28:15Z,,,0,7
2026-09-09T05:28:16Z,,,0,7
2026-09-09T05:28:18Z,,,0,7
2026-09-09T05:28:19Z,,,0,7
2026-09-09T05:28:20Z,,,0,7
2026-09-09T05:28:21Z,,,0,7
2026-09-09T05:28:22Z,,,0,7
2026-09-09T05:28:24Z,,,0,7
2026-09-09T05:28:25Z,,,0,7
2026-09-09T05:28:26Z,,,0,7
2026-09-09T05:28:27Z,,,0,9
2026-09-09T05:28:28Z,,,0,7
2026-09-09T05:28:30Z,,,0,7
2026-09-09T05:28:31Z,,,0,7
2026-09-09T05:28:32Z,,,0,7
2026-09-09T05:28:33Z,,,0,7
2026-09-09T05:28:35Z,,,0,8
2026-09-09T05:28:36Z,,,0,7
2026-09-09T05:28:37Z,,,0,7
2026-09-09T05:28:38Z,,,0,5
2026-09-09T05:28:39Z,,,0,6
2026-09-09T05:28:41Z,,,0,6
2026-09-09T05:28:42Z,,,0,6
2026-09-09T05:28:43Z,,,0,6
2026-09-09T05:28:44Z,,,0,6
2026-09-09T05:28:46Z,,,0,6
2026-09-09T05:28:47Z,,,0,6
2026-09-09T05:28:48Z,,,0,6
2026-09-09T05:28:49Z,,,0,6
2026-09-09T05:28:50Z,,,0,5
2026-09-09T05:28:52Z,,,0,5
2026-09-09T05:28:53Z,,,0,5
2026-09-09T05:28:54Z,,,0,4
2026-09-09T05:28:55Z,,,0,4
2026-09-09T05:28:57Z,,,0,3
