ts,arm,locked_by,running_count
2026-09-09T09:12:04Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:06Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:12:07Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:09Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:10Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:12Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:13Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:15Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:12:17Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:18Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:20Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:21Z,r1,worker-4eaf28e97fd2-1788944974367,4
2026-09-09T09:12:23Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:24Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:26Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:27Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:12:29Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:31Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:12:32Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:34Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:35Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:37Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:38Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:40Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:41Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:43Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:45Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:46Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:48Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:49Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:51Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:52Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:54Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:12:56Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:12:57Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:12:59Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:00Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:02Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:03Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:05Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:06Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:08Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:09Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:11Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:13Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:14Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:16Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:17Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:19Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:20Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:22Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:23Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:25Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:27Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:28Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:30Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:31Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:33Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:34Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:36Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:37Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:39Z,r1,worker-4eaf28e97fd2-1788944974367,6
2026-09-09T09:13:41Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:42Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:44Z,r1,worker-4eaf28e97fd2-1788944974367,11
2026-09-09T09:13:45Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:47Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:48Z,r1,worker-4eaf28e97fd2-1788944974367,7
2026-09-09T09:13:50Z,r1,worker-4eaf28e97fd2-1788944974367,12
2026-09-09T09:13:51Z,r1,worker-4eaf28e97fd2-1788944974367,5
2026-09-09T09:13:53Z,r1,worker-4eaf28e97fd2-1788944974367,11
2026-09-09T09:13:54Z,r1,worker-4eaf28e97fd2-1788944974367,8
2026-09-09T09:13:56Z,r1,worker-4eaf28e97fd2-1788944974367,8
