ts,arm,queued_due,running,lock_waits,pg_backends
2026-09-09T09:12:05Z,r1,572,6,0,7
2026-09-09T09:12:06Z,r1,567,6,0,7
2026-09-09T09:12:08Z,r1,561,7,0,7
2026-09-09T09:12:09Z,r1,559,6,0,8
2026-09-09T09:12:11Z,r1,551,7,0,7
2026-09-09T09:12:12Z,r1,549,4,0,7
2026-09-09T09:12:14Z,r1,542,6,0,7
2026-09-09T09:12:15Z,r1,538,6,0,7
2026-09-09T09:12:17Z,r1,531,6,0,7
2026-09-09T09:12:19Z,r1,528,4,0,7
2026-09-09T09:12:20Z,r1,520,7,0,7
2026-09-09T09:12:22Z,r1,517,3,0,7
2026-09-09T09:12:23Z,r1,509,8,0,7
2026-09-09T09:12:25Z,r1,506,6,0,7
2026-09-09T09:12:26Z,r1,500,6,0,7
2026-09-09T09:12:28Z,r1,496,4,0,7
2026-09-09T09:12:29Z,r1,488,8,0,7
2026-09-09T09:12:31Z,r1,485,6,0,7
2026-09-09T09:12:33Z,r1,479,6,0,7
2026-09-09T09:12:34Z,r1,475,6,0,7
2026-09-09T09:12:36Z,r1,467,7,0,7
2026-09-09T09:12:37Z,r1,465,4,0,7
2026-09-09T09:12:39Z,r1,457,7,0,7
2026-09-09T09:12:40Z,r1,454,5,0,7
2026-09-09T09:12:42Z,r1,448,6,0,7
2026-09-09T09:12:43Z,r1,444,5,0,7
2026-09-09T09:12:45Z,r1,437,7,0,7
2026-09-09T09:12:47Z,r1,435,4,0,7
2026-09-09T09:12:48Z,r1,427,7,0,7
2026-09-09T09:12:50Z,r1,424,4,0,7
2026-09-09T09:12:51Z,r1,416,7,0,7
2026-09-09T09:12:53Z,r1,413,5,0,7
2026-09-09T09:12:54Z,r1,406,7,0,7
2026-09-09T09:12:56Z,r1,404,4,0,7
2026-09-09T09:12:57Z,r1,396,7,0,7
2026-09-09T09:12:59Z,r1,393,5,0,7
2026-09-09T09:13:01Z,r1,387,6,0,6
2026-09-09T09:13:02Z,r1,383,7,0,6
2026-09-09T09:13:04Z,r1,376,7,0,7
2026-09-09T09:13:05Z,r1,373,5,0,7
2026-09-09T09:13:07Z,r1,366,7,0,7
2026-09-09T09:13:08Z,r1,362,6,0,7
2026-09-09T09:13:10Z,r1,356,6,0,7
2026-09-09T09:13:11Z,r1,352,5,0,7
2026-09-09T09:13:13Z,r1,345,7,0,7
2026-09-09T09:13:15Z,r1,341,5,0,7
2026-09-09T09:13:16Z,r1,335,6,0,7
2026-09-09T09:13:18Z,r1,331,4,0,7
2026-09-09T09:13:19Z,r1,324,7,0,7
2026-09-09T09:13:21Z,r1,320,5,0,6
2026-09-09T09:13:22Z,r1,313,8,0,6
2026-09-09T09:13:24Z,r1,311,4,0,6
2026-09-09T09:13:25Z,r1,302,7,0,7
2026-09-09T09:13:27Z,r1,299,6,0,7
2026-09-09T09:13:29Z,r1,291,8,0,7
2026-09-09T09:13:30Z,r1,289,7,0,7
2026-09-09T09:13:32Z,r1,282,8,0,8
2026-09-09T09:13:33Z,r1,280,5,0,8
2026-09-09T09:13:35Z,r1,274,8,0,8
2026-09-09T09:13:36Z,r1,271,5,0,8
2026-09-09T09:13:38Z,r1,264,7,0,8
2026-09-09T09:13:39Z,r1,260,5,0,8
2026-09-09T09:13:41Z,r1,252,7,0,8
2026-09-09T09:13:43Z,r1,248,7,0,7
2026-09-09T09:13:44Z,r1,242,8,0,7
2026-09-09T09:13:46Z,r1,239,4,0,7
2026-09-09T09:13:47Z,r1,232,6,0,7
2026-09-09T09:13:49Z,r1,227,6,0,7
2026-09-09T09:13:50Z,r1,220,8,0,7
2026-09-09T09:13:52Z,r1,217,4,0,7
2026-09-09T09:13:53Z,r1,209,8,0,7
2026-09-09T09:13:55Z,r1,207,7,0,7
2026-09-09T09:13:56Z,r1,200,7,0,7
2026-09-09T09:13:58Z,r1,196,7,0,7
2026-09-09T09:14:00Z,r1,189,8,0,7
2026-09-09T09:14:01Z,r1,185,6,0,7
2026-09-09T09:14:03Z,r1,178,7,0,7
2026-09-09T09:14:04Z,r1,174,6,0,7
2026-09-09T09:14:06Z,r1,167,8,0,7
2026-09-09T09:14:07Z,r1,163,7,0,7
2026-09-09T09:14:09Z,r1,156,7,0,7
2026-09-09T09:14:10Z,r1,153,5,0,7
2026-09-09T09:14:12Z,r1,146,7,0,7
2026-09-09T09:14:13Z,r1,141,7,0,7
2026-09-09T09:14:15Z,r1,136,7,0,7
2026-09-09T09:14:17Z,r1,133,5,0,7
2026-09-09T09:14:18Z,r1,126,8,0,7
2026-09-09T09:14:20Z,r1,121,6,0,7
2026-09-09T09:14:21Z,r1,115,8,0,7
2026-09-09T09:14:23Z,r1,113,5,0,7
2026-09-09T09:14:24Z,r1,105,7,0,7
2026-09-09T09:14:26Z,r1,101,6,0,7
2026-09-09T09:14:27Z,r1,95,8,0,7
2026-09-09T09:14:29Z,r1,92,5,0,7
2026-09-09T09:14:31Z,r1,82,8,0,7
2026-09-09T09:14:32Z,r1,81,6,0,7
2026-09-09T09:14:34Z,r1,73,8,0,7
2026-09-09T09:14:35Z,r1,71,7,0,7
2026-09-09T09:14:37Z,r1,65,7,0,7
2026-09-09T09:14:38Z,r1,62,7,0,7
2026-09-09T09:14:40Z,r1,56,7,0,7
2026-09-09T09:14:41Z,r1,52,6,0,8
2026-09-09T09:14:43Z,r1,49,8,0,8
2026-09-09T09:14:44Z,r1,40,6,0,8
