ts,dt,queued,running,dead,deferred,pg_database_size_bytes,docker_stats_json
2026-09-09T09:11:49Z,0,0,0,891,0,2666829491,"[{""name"":""lab-worker-1"",""cpu"":""42.01%"",""mem"":""106.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""14.97%"",""mem"":""152.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""7.82%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.65%"",""mem"":""76.66MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""13.81%"",""mem"":""253.6MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""7.02%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.76%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.23%"",""mem"":""30.22MiB / 122.8GiB""}]"
2026-09-09T09:11:53Z,3,115,8,891,0,2666829491,"[{""name"":""lab-worker-1"",""cpu"":""31.03%"",""mem"":""115.9MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""33.45%"",""mem"":""152.2MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.42%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""7.10%"",""mem"":""76.7MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""9.61%"",""mem"":""254.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.13%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.74%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:11:57Z,4,244,8,891,0,2666870451,"[{""name"":""lab-worker-1"",""cpu"":""27.09%"",""mem"":""115.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""11.12%"",""mem"":""154.3MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.49%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.80%"",""mem"":""76.48MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""10.80%"",""mem"":""255.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.73%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.76%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:12:00Z,4,374,8,891,0,2666870451,"[{""name"":""lab-worker-1"",""cpu"":""22.78%"",""mem"":""115.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""11.59%"",""mem"":""158.7MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""9.05%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.68%"",""mem"":""76.76MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""9.77%"",""mem"":""243.8MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.82%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.77%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:12:04Z,3,497,5,891,0,2666870451,"[{""name"":""lab-worker-1"",""cpu"":""34.12%"",""mem"":""116.7MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""7.89%"",""mem"":""164.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.49%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""2.18%"",""mem"":""76.8MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""27.43%"",""mem"":""248.9MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.49%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.77%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""3.87%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:12:08Z,4,567,7,891,0,2666870451,"[{""name"":""lab-worker-1"",""cpu"":""15.05%"",""mem"":""128.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""164.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.38%"",""mem"":""122.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.98%"",""mem"":""76.79MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""38.04%"",""mem"":""249MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""9.04%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.82%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:12:12Z,4,559,6,891,0,2666895027,"[{""name"":""lab-worker-1"",""cpu"":""8.85%"",""mem"":""129.1MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""164.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.67%"",""mem"":""124.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.82%"",""mem"":""76.55MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""26.41%"",""mem"":""249.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.97%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.92%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:12:15Z,4,545,6,891,0,2666895027,"[{""name"":""lab-worker-1"",""cpu"":""12.81%"",""mem"":""129MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""164.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.81%"",""mem"":""124.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.89%"",""mem"":""76.55MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""30.66%"",""mem"":""249.4MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""12.75%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""0.86%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.01%"",""mem"":""30.22MiB / 122.8GiB""}]"
2026-09-09T09:12:19Z,3,536,8,891,0,2666911411,"[{""name"":""lab-worker-1"",""cpu"":""11.83%"",""mem"":""129.4MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""164.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.42%"",""mem"":""124.1MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.01%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.86%"",""mem"":""76.54MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""43.97%"",""mem"":""249.5MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.04%"",""mem"":""714.8MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""5.01%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""4.00%"",""mem"":""30.21MiB / 122.8GiB""}]"
2026-09-09T09:12:23Z,4,520,7,891,0,2666927795,"[{""name"":""lab-worker-1"",""cpu"":""10.27%"",""mem"":""129.5MiB / 122.8GiB""},{""name"":""lab-api"",""cpu"":""0.00%"",""mem"":""164.5MiB / 122.8GiB""},{""name"":""lab-wc-tls"",""cpu"":""0.00%"",""mem"":""30.18MiB / 122.8GiB""},{""name"":""lab-prestashop"",""cpu"":""8.57%"",""mem"":""124.2MiB / 122.8GiB""},{""name"":""lab-woocommerce"",""cpu"":""0.00%"",""mem"":""200.2MiB / 122.8GiB""},{""name"":""lab-redis"",""cpu"":""0.93%"",""mem"":""76.55MiB / 122.8GiB""},{""name"":""lab-postgres"",""cpu"":""11.98%"",""mem"":""249.7MiB / 122.8GiB""},{""name"":""lab-mysql"",""cpu"":""8.61%"",""mem"":""714.6MiB / 122.8GiB""},{""name"":""lab-woocommerce-mysql"",""cpu"":""1.00%"",""mem"":""485.6MiB / 122.8GiB""},{""name"":""lab-allegro-stub"",""cpu"":""0.00%"",""mem"":""30.21MiB / 122.8GiB""}]"
