arm,seq,enqueued_at,idempotency_key
control,0,2026-09-09T07:54:59Z,f7:probe:fiscal:control:0:1788940499912212173
control,1,2026-09-09T07:55:15Z,f7:probe:fiscal:control:1:1788940514974894056
control,2,2026-09-09T07:55:30Z,f7:probe:fiscal:control:2:1788940530040976914
control,3,2026-09-09T07:55:45Z,f7:probe:fiscal:control:3:1788940545107569612
control,4,2026-09-09T07:56:00Z,f7:probe:fiscal:control:4:1788940560171215254
control,5,2026-09-09T07:56:15Z,f7:probe:fiscal:control:5:1788940575235213901
control,6,2026-09-09T07:56:30Z,f7:probe:fiscal:control:6:1788940590298575293
control,7,2026-09-09T07:56:45Z,f7:probe:fiscal:control:7:1788940605363824099
control,8,2026-09-09T07:57:00Z,f7:probe:fiscal:control:8:1788940620427984875
control,9,2026-09-09T07:57:15Z,f7:probe:fiscal:control:9:1788940635493173114
control,10,2026-09-09T07:57:30Z,f7:probe:fiscal:control:10:1788940650556280921
control,11,2026-09-09T07:57:45Z,f7:probe:fiscal:control:11:1788940665618214055
loaded,0,2026-09-09T08:01:08Z,f7:probe:fiscal:loaded:0:1788940868645754493
loaded,1,2026-09-09T08:01:23Z,f7:probe:fiscal:loaded:1:1788940883707645910
loaded,2,2026-09-09T08:01:38Z,f7:probe:fiscal:loaded:2:1788940898771703512
loaded,3,2026-09-09T08:01:53Z,f7:probe:fiscal:loaded:3:1788940913831034854
loaded,4,2026-09-09T08:02:08Z,f7:probe:fiscal:loaded:4:1788940928888725144
loaded,5,2026-09-09T08:02:23Z,f7:probe:fiscal:loaded:5:1788940943939562535
loaded,6,2026-09-09T08:02:39Z,f7:probe:fiscal:loaded:6:1788940959000748836
loaded,7,2026-09-09T08:02:54Z,f7:probe:fiscal:loaded:7:1788940974061515665
loaded,8,2026-09-09T08:03:09Z,f7:probe:fiscal:loaded:8:1788940989124336098
loaded,9,2026-09-09T08:03:24Z,f7:probe:fiscal:loaded:9:1788941004179773011
loaded,10,2026-09-09T08:03:39Z,f7:probe:fiscal:loaded:10:1788941019241328073
loaded,11,2026-09-09T08:03:54Z,f7:probe:fiscal:loaded:11:1788941034307819441
