arm,seq,idempotency_key,created_at,claimed_at,finished_at,queue_wait_ms,total_ms,final_status,outcome
control,0,f7:probe:fiscal:control:0:1788946553571035439,2026-09-09 09:35:53.592,2026-09-09T09:35:55Z,2026-09-09 09:35:53.766,1408,174,succeeded,business_failure
control,1,f7:probe:fiscal:control:1:1788946568628942560,2026-09-09 09:36:08.648,2026-09-09T09:36:09Z,2026-09-09 09:36:08.995,352,347,succeeded,business_failure
control,2,f7:probe:fiscal:control:2:1788946583690646247,2026-09-09 09:36:23.709,2026-09-09T09:36:25Z,2026-09-09 09:36:24.216,1291,507,succeeded,business_failure
control,3,f7:probe:fiscal:control:3:1788946598757457417,2026-09-09 09:36:38.775,2026-09-09T09:36:40Z,2026-09-09 09:36:39.446,1225,671,succeeded,business_failure
control,4,f7:probe:fiscal:control:4:1788946613815807458,2026-09-09 09:36:53.836,2026-09-09T09:36:55Z,2026-09-09 09:36:54.680,1164,844,succeeded,business_failure
control,5,f7:probe:fiscal:control:5:1788946628878396358,2026-09-09 09:37:08.915,2026-09-09T09:37:11Z,2026-09-09 09:37:09.924,2085,1009,succeeded,business_failure
control,6,f7:probe:fiscal:control:6:1788946643938191640,2026-09-09 09:37:23.957,2026-09-09T09:37:25Z,2026-09-09 09:37:24.121,1043,164,succeeded,business_failure
control,7,f7:probe:fiscal:control:7:1788946658996412425,2026-09-09 09:37:39.014,2026-09-09T09:37:40Z,2026-09-09 09:37:39.330,986,316,succeeded,business_failure
control,8,f7:probe:fiscal:control:8:1788946674053662854,2026-09-09 09:37:54.073,2026-09-09T09:37:55Z,2026-09-09 09:37:54.528,927,455,succeeded,business_failure
control,9,f7:probe:fiscal:control:9:1788946689115844429,2026-09-09 09:38:09.135,2026-09-09T09:38:11Z,2026-09-09 09:38:09.726,1865,591,succeeded,business_failure
control,10,f7:probe:fiscal:control:10:1788946704174894692,2026-09-09 09:38:24.188,2026-09-09T09:38:26Z,2026-09-09 09:38:24.926,1812,738,succeeded,business_failure
control,11,f7:probe:fiscal:control:11:1788946719229719487,2026-09-09 09:38:39.245,2026-09-09T09:38:41Z,2026-09-09 09:38:40.145,1755,900,succeeded,business_failure
loaded,0,f7:probe:fiscal:loaded:0:1788946781414285860,2026-09-09 09:39:41.434,2026-09-09T09:39:42Z,2026-09-09 09:39:42.255,566,821,succeeded,business_failure
loaded,1,f7:probe:fiscal:loaded:1:1788946796476083466,2026-09-09 09:39:56.492,2026-09-09T09:39:57Z,2026-09-09 09:39:56.806,508,314,succeeded,business_failure
loaded,2,f7:probe:fiscal:loaded:2:1788946811533481303,2026-09-09 09:40:11.545,2026-09-09T09:40:12Z,2026-09-09 09:40:12.372,455,827,succeeded,business_failure
loaded,3,f7:probe:fiscal:loaded:3:1788946826585622934,2026-09-09 09:40:26.604,2026-09-09T09:40:27Z,2026-09-09 09:40:26.861,396,257,succeeded,business_failure
loaded,4,f7:probe:fiscal:loaded:4:1788946841645463992,2026-09-09 09:40:41.666,2026-09-09T09:40:43Z,2026-09-09 09:40:42.361,1334,695,succeeded,business_failure
loaded,5,f7:probe:fiscal:loaded:5:1788946856710337357,2026-09-09 09:40:56.725,2026-09-09T09:40:57Z,2026-09-09 09:40:56.833,275,108,succeeded,business_failure
loaded,6,f7:probe:fiscal:loaded:6:1788946871771316008,2026-09-09 09:41:11.789,2026-09-09T09:41:12Z,2026-09-09 09:41:12.319,211,530,succeeded,business_failure
loaded,7,f7:probe:fiscal:loaded:7:1788946886829576087,2026-09-09 09:41:26.864,2026-09-09T09:41:28Z,2026-09-09 09:41:27.889,1136,1025,succeeded,business_failure
loaded,8,f7:probe:fiscal:loaded:8:1788946901890622775,2026-09-09 09:41:41.911,2026-09-09T09:41:42Z,2026-09-09 09:41:42.364,89,453,succeeded,business_failure
loaded,9,f7:probe:fiscal:loaded:9:1788946916957564510,2026-09-09 09:41:56.976,2026-09-09T09:41:58Z,2026-09-09 09:41:57.897,1024,921,succeeded,business_failure
loaded,10,f7:probe:fiscal:loaded:10:1788946932018734953,2026-09-09 09:42:12.033,2026-09-09T09:42:12Z,2026-09-09 09:42:12.365,-33,332,succeeded,business_failure
loaded,11,f7:probe:fiscal:loaded:11:1788946947071548012,2026-09-09 09:42:27.090,2026-09-09T09:42:28Z,2026-09-09 09:42:27.886,910,796,succeeded,business_failure
