ts,arm,bulk_running,claim_loop_tick_proxy
2026-09-09T09:35:53Z,control,0,
2026-09-09T09:35:54Z,control,1,
2026-09-09T09:35:55Z,control,1,
2026-09-09T09:35:56Z,control,1,
2026-09-09T09:35:58Z,control,1,
2026-09-09T09:35:59Z,control,0,
2026-09-09T09:36:00Z,control,0,
2026-09-09T09:36:01Z,control,0,
2026-09-09T09:36:02Z,control,0,
2026-09-09T09:36:03Z,control,1,
2026-09-09T09:36:04Z,control,0,
2026-09-09T09:36:05Z,control,0,
2026-09-09T09:36:06Z,control,0,
2026-09-09T09:36:08Z,control,0,
2026-09-09T09:36:09Z,control,1,
2026-09-09T09:36:10Z,control,0,
2026-09-09T09:36:11Z,control,0,
2026-09-09T09:36:12Z,control,0,
2026-09-09T09:36:13Z,control,0,
2026-09-09T09:36:14Z,control,0,
2026-09-09T09:36:15Z,control,0,
2026-09-09T09:36:17Z,control,0,
2026-09-09T09:36:18Z,control,1,
2026-09-09T09:36:19Z,control,0,
2026-09-09T09:36:20Z,control,0,
2026-09-09T09:36:21Z,control,0,
2026-09-09T09:36:22Z,control,0,
2026-09-09T09:36:23Z,control,0,
2026-09-09T09:36:24Z,control,0,
2026-09-09T09:36:25Z,control,0,
2026-09-09T09:36:27Z,control,0,
2026-09-09T09:36:28Z,control,0,
2026-09-09T09:36:29Z,control,0,
2026-09-09T09:36:30Z,control,0,
2026-09-09T09:36:31Z,control,0,
2026-09-09T09:36:32Z,control,0,
2026-09-09T09:36:33Z,control,0,
2026-09-09T09:36:34Z,control,0,
2026-09-09T09:36:36Z,control,0,
2026-09-09T09:36:37Z,control,0,
2026-09-09T09:36:38Z,control,0,
2026-09-09T09:36:39Z,control,0,
2026-09-09T09:36:40Z,control,0,
2026-09-09T09:36:41Z,control,0,
2026-09-09T09:36:42Z,control,0,
2026-09-09T09:36:43Z,control,0,
2026-09-09T09:36:44Z,control,0,
2026-09-09T09:36:46Z,control,0,
2026-09-09T09:36:47Z,control,0,
2026-09-09T09:36:48Z,control,0,
2026-09-09T09:36:49Z,control,0,
2026-09-09T09:36:50Z,control,0,
2026-09-09T09:36:51Z,control,0,
2026-09-09T09:36:52Z,control,0,
2026-09-09T09:36:53Z,control,0,
2026-09-09T09:36:54Z,control,1,
2026-09-09T09:36:56Z,control,0,
2026-09-09T09:36:57Z,control,0,
2026-09-09T09:36:58Z,control,0,
2026-09-09T09:36:59Z,control,0,
2026-09-09T09:37:00Z,control,0,
2026-09-09T09:37:01Z,control,0,
2026-09-09T09:37:02Z,control,0,
2026-09-09T09:37:03Z,control,1,
2026-09-09T09:37:04Z,control,0,
2026-09-09T09:37:06Z,control,0,
2026-09-09T09:37:07Z,control,0,
2026-09-09T09:37:08Z,control,0,
2026-09-09T09:37:09Z,control,0,
2026-09-09T09:37:10Z,control,0,
2026-09-09T09:37:11Z,control,0,
2026-09-09T09:37:12Z,control,0,
2026-09-09T09:37:13Z,control,0,
2026-09-09T09:37:15Z,control,0,
2026-09-09T09:37:16Z,control,1,
2026-09-09T09:37:17Z,control,0,
2026-09-09T09:37:18Z,control,0,
2026-09-09T09:37:19Z,control,0,
2026-09-09T09:37:20Z,control,0,
2026-09-09T09:37:21Z,control,0,
2026-09-09T09:37:22Z,control,0,
2026-09-09T09:37:23Z,control,0,
2026-09-09T09:37:25Z,control,0,
2026-09-09T09:37:26Z,control,0,
2026-09-09T09:37:27Z,control,0,
2026-09-09T09:37:28Z,control,1,
2026-09-09T09:37:29Z,control,0,
2026-09-09T09:37:30Z,control,0,
2026-09-09T09:37:31Z,control,0,
2026-09-09T09:37:32Z,control,0,
2026-09-09T09:37:34Z,control,0,
2026-09-09T09:37:35Z,control,0,
2026-09-09T09:37:36Z,control,0,
2026-09-09T09:37:37Z,control,1,
2026-09-09T09:37:38Z,control,0,
2026-09-09T09:37:39Z,control,0,
2026-09-09T09:37:40Z,control,0,
2026-09-09T09:37:41Z,control,0,
2026-09-09T09:37:42Z,control,0,
2026-09-09T09:37:44Z,control,0,
2026-09-09T09:37:45Z,control,0,
2026-09-09T09:37:46Z,control,0,
2026-09-09T09:37:47Z,control,0,
2026-09-09T09:37:48Z,control,0,
2026-09-09T09:37:49Z,control,0,
2026-09-09T09:37:50Z,control,0,
2026-09-09T09:37:51Z,control,0,
2026-09-09T09:37:52Z,control,0,
2026-09-09T09:37:54Z,control,0,
2026-09-09T09:37:55Z,control,0,
2026-09-09T09:37:56Z,control,0,
2026-09-09T09:37:57Z,control,0,
2026-09-09T09:37:58Z,control,0,
2026-09-09T09:37:59Z,control,0,
2026-09-09T09:38:00Z,control,0,
2026-09-09T09:38:01Z,control,0,
2026-09-09T09:38:02Z,control,0,
2026-09-09T09:38:04Z,control,0,
2026-09-09T09:38:05Z,control,0,
2026-09-09T09:38:06Z,control,0,
2026-09-09T09:38:07Z,control,0,
2026-09-09T09:38:08Z,control,0,
2026-09-09T09:38:09Z,control,0,
2026-09-09T09:38:10Z,control,1,
2026-09-09T09:38:11Z,control,0,
2026-09-09T09:38:12Z,control,0,
2026-09-09T09:38:14Z,control,0,
2026-09-09T09:38:15Z,control,0,
2026-09-09T09:38:16Z,control,0,
2026-09-09T09:38:17Z,control,0,
2026-09-09T09:38:18Z,control,0,
2026-09-09T09:38:19Z,control,0,
2026-09-09T09:38:20Z,control,0,
2026-09-09T09:38:21Z,control,0,
2026-09-09T09:38:23Z,control,1,
2026-09-09T09:38:24Z,control,0,
2026-09-09T09:38:25Z,control,0,
2026-09-09T09:38:26Z,control,0,
2026-09-09T09:38:27Z,control,0,
2026-09-09T09:38:28Z,control,0,
2026-09-09T09:38:29Z,control,0,
2026-09-09T09:38:30Z,control,0,
2026-09-09T09:38:31Z,control,0,
2026-09-09T09:38:33Z,control,0,
2026-09-09T09:38:34Z,control,0,
2026-09-09T09:38:35Z,control,1,
2026-09-09T09:38:36Z,control,0,
2026-09-09T09:38:37Z,control,0,
2026-09-09T09:38:38Z,control,0,
2026-09-09T09:38:39Z,control,0,
2026-09-09T09:38:40Z,control,0,
2026-09-09T09:38:41Z,control,0,
2026-09-09T09:38:43Z,control,0,
2026-09-09T09:38:44Z,control,0,
2026-09-09T09:38:45Z,control,0,
2026-09-09T09:38:46Z,control,0,
2026-09-09T09:38:47Z,control,0,
2026-09-09T09:38:48Z,control,0,
2026-09-09T09:38:49Z,control,0,
2026-09-09T09:38:50Z,control,0,
2026-09-09T09:38:52Z,control,0,
2026-09-09T09:38:53Z,control,0,
2026-09-09T09:39:41Z,loaded,7,
2026-09-09T09:39:42Z,loaded,8,
2026-09-09T09:39:43Z,loaded,6,
2026-09-09T09:39:44Z,loaded,7,
2026-09-09T09:39:45Z,loaded,6,
2026-09-09T09:39:47Z,loaded,6,
2026-09-09T09:39:48Z,loaded,6,
2026-09-09T09:39:49Z,loaded,5,
2026-09-09T09:39:50Z,loaded,4,
2026-09-09T09:39:51Z,loaded,6,
2026-09-09T09:39:52Z,loaded,8,
2026-09-09T09:39:53Z,loaded,8,
2026-09-09T09:39:54Z,loaded,8,
2026-09-09T09:39:55Z,loaded,8,
2026-09-09T09:39:57Z,loaded,7,
2026-09-09T09:39:58Z,loaded,7,
2026-09-09T09:39:59Z,loaded,7,
2026-09-09T09:40:00Z,loaded,7,
2026-09-09T09:40:01Z,loaded,6,
2026-09-09T09:40:02Z,loaded,4,
2026-09-09T09:40:03Z,loaded,4,
2026-09-09T09:40:04Z,loaded,6,
2026-09-09T09:40:06Z,loaded,5,
2026-09-09T09:40:07Z,loaded,4,
2026-09-09T09:40:08Z,loaded,8,
2026-09-09T09:40:09Z,loaded,7,
2026-09-09T09:40:10Z,loaded,7,
2026-09-09T09:40:11Z,loaded,7,
2026-09-09T09:40:12Z,loaded,7,
2026-09-09T09:40:13Z,loaded,6,
2026-09-09T09:40:14Z,loaded,7,
2026-09-09T09:40:16Z,loaded,6,
2026-09-09T09:40:17Z,loaded,7,
2026-09-09T09:40:18Z,loaded,5,
2026-09-09T09:40:19Z,loaded,4,
2026-09-09T09:40:20Z,loaded,5,
2026-09-09T09:40:21Z,loaded,6,
2026-09-09T09:40:22Z,loaded,8,
2026-09-09T09:40:23Z,loaded,7,
2026-09-09T09:40:25Z,loaded,7,
2026-09-09T09:40:26Z,loaded,6,
2026-09-09T09:40:27Z,loaded,8,
2026-09-09T09:40:28Z,loaded,7,
2026-09-09T09:40:29Z,loaded,6,
2026-09-09T09:40:30Z,loaded,6,
2026-09-09T09:40:31Z,loaded,6,
2026-09-09T09:40:32Z,loaded,5,
2026-09-09T09:40:33Z,loaded,6,
2026-09-09T09:40:35Z,loaded,4,
2026-09-09T09:40:36Z,loaded,8,
2026-09-09T09:40:37Z,loaded,8,
2026-09-09T09:40:38Z,loaded,7,
2026-09-09T09:40:39Z,loaded,7,
2026-09-09T09:40:40Z,loaded,6,
2026-09-09T09:40:41Z,loaded,6,
2026-09-09T09:40:42Z,loaded,5,
2026-09-09T09:40:43Z,loaded,6,
2026-09-09T09:40:45Z,loaded,6,
2026-09-09T09:40:46Z,loaded,6,
2026-09-09T09:40:47Z,loaded,5,
2026-09-09T09:40:48Z,loaded,4,
2026-09-09T09:40:49Z,loaded,5,
2026-09-09T09:40:50Z,loaded,7,
2026-09-09T09:40:51Z,loaded,8,
2026-09-09T09:40:52Z,loaded,8,
2026-09-09T09:40:54Z,loaded,7,
2026-09-09T09:40:55Z,loaded,7,
2026-09-09T09:40:56Z,loaded,8,
2026-09-09T09:40:57Z,loaded,6,
2026-09-09T09:40:58Z,loaded,7,
2026-09-09T09:40:59Z,loaded,6,
2026-09-09T09:41:00Z,loaded,7,
2026-09-09T09:41:01Z,loaded,6,
2026-09-09T09:41:02Z,loaded,7,
2026-09-09T09:41:04Z,loaded,6,
2026-09-09T09:41:05Z,loaded,8,
2026-09-09T09:41:06Z,loaded,8,
2026-09-09T09:41:07Z,loaded,7,
2026-09-09T09:41:08Z,loaded,7,
2026-09-09T09:41:09Z,loaded,6,
2026-09-09T09:41:10Z,loaded,7,
2026-09-09T09:41:11Z,loaded,8,
2026-09-09T09:41:12Z,loaded,7,
2026-09-09T09:41:14Z,loaded,5,
2026-09-09T09:41:15Z,loaded,7,
2026-09-09T09:41:16Z,loaded,7,
2026-09-09T09:41:17Z,loaded,5,
2026-09-09T09:41:18Z,loaded,8,
2026-09-09T09:41:19Z,loaded,8,
2026-09-09T09:41:20Z,loaded,7,
2026-09-09T09:41:21Z,loaded,7,
2026-09-09T09:41:23Z,loaded,8,
2026-09-09T09:41:24Z,loaded,7,
2026-09-09T09:41:25Z,loaded,6,
2026-09-09T09:41:26Z,loaded,6,
2026-09-09T09:41:27Z,loaded,7,
2026-09-09T09:41:28Z,loaded,6,
2026-09-09T09:41:29Z,loaded,6,
2026-09-09T09:41:30Z,loaded,5,
2026-09-09T09:41:31Z,loaded,7,
2026-09-09T09:41:33Z,loaded,8,
2026-09-09T09:41:34Z,loaded,8,
2026-09-09T09:41:35Z,loaded,7,
2026-09-09T09:41:36Z,loaded,7,
2026-09-09T09:41:37Z,loaded,8,
2026-09-09T09:41:38Z,loaded,7,
2026-09-09T09:41:39Z,loaded,6,
2026-09-09T09:41:40Z,loaded,5,
2026-09-09T09:41:41Z,loaded,5,
2026-09-09T09:41:43Z,loaded,6,
2026-09-09T09:41:44Z,loaded,6,
2026-09-09T09:41:45Z,loaded,5,
2026-09-09T09:41:46Z,loaded,6,
2026-09-09T09:41:47Z,loaded,4,
2026-09-09T09:41:48Z,loaded,8,
2026-09-09T09:41:49Z,loaded,8,
2026-09-09T09:41:50Z,loaded,8,
2026-09-09T09:41:51Z,loaded,7,
2026-09-09T09:41:53Z,loaded,7,
2026-09-09T09:41:54Z,loaded,8,
2026-09-09T09:41:55Z,loaded,6,
2026-09-09T09:41:56Z,loaded,5,
2026-09-09T09:41:57Z,loaded,5,
2026-09-09T09:41:58Z,loaded,6,
2026-09-09T09:41:59Z,loaded,5,
2026-09-09T09:42:00Z,loaded,5,
2026-09-09T09:42:02Z,loaded,8,
2026-09-09T09:42:03Z,loaded,7,
2026-09-09T09:42:04Z,loaded,8,
2026-09-09T09:42:05Z,loaded,8,
2026-09-09T09:42:06Z,loaded,8,
2026-09-09T09:42:07Z,loaded,7,
2026-09-09T09:42:08Z,loaded,7,
2026-09-09T09:42:09Z,loaded,5,
2026-09-09T09:42:10Z,loaded,5,
2026-09-09T09:42:12Z,loaded,6,
2026-09-09T09:42:13Z,loaded,3,
2026-09-09T09:42:14Z,loaded,6,
2026-09-09T09:42:15Z,loaded,6,
2026-09-09T09:42:16Z,loaded,8,
2026-09-09T09:42:17Z,loaded,8,
2026-09-09T09:42:18Z,loaded,8,
2026-09-09T09:42:19Z,loaded,6,
2026-09-09T09:42:20Z,loaded,7,
2026-09-09T09:42:22Z,loaded,7,
2026-09-09T09:42:23Z,loaded,6,
2026-09-09T09:42:24Z,loaded,6,
2026-09-09T09:42:25Z,loaded,7,
2026-09-09T09:42:26Z,loaded,4,
2026-09-09T09:42:27Z,loaded,6,
2026-09-09T09:42:28Z,loaded,4,
2026-09-09T09:42:29Z,loaded,6,
2026-09-09T09:42:31Z,loaded,8,
2026-09-09T09:42:32Z,loaded,8,
2026-09-09T09:42:33Z,loaded,8,
2026-09-09T09:42:34Z,loaded,6,
2026-09-09T09:42:35Z,loaded,7,
2026-09-09T09:42:36Z,loaded,6,
2026-09-09T09:42:37Z,loaded,7,
2026-09-09T09:42:38Z,loaded,5,
2026-09-09T09:42:39Z,loaded,5,
2026-09-09T09:42:41Z,loaded,6,
2026-09-09T09:42:42Z,loaded,2,
2026-09-09T09:42:43Z,loaded,0,
2026-09-09T09:42:44Z,loaded,0,
2026-09-09T09:42:45Z,loaded,0,
2026-09-09T09:42:46Z,loaded,0,
2026-09-09T09:42:47Z,loaded,0,
2026-09-09T09:42:48Z,loaded,0,
2026-09-09T09:42:49Z,loaded,0,
2026-09-09T09:42:51Z,loaded,0,
2026-09-09T09:42:52Z,loaded,0,
2026-09-09T09:42:53Z,loaded,0,
2026-09-09T09:42:54Z,loaded,0,
2026-09-09T09:42:55Z,loaded,0,
2026-09-09T09:42:56Z,loaded,0,
2026-09-09T09:42:57Z,loaded,0,
2026-09-09T09:42:58Z,loaded,0,
2026-09-09T09:43:00Z,loaded,0,
2026-09-09T09:43:01Z,loaded,0,
2026-09-09T09:43:02Z,loaded,0,
2026-09-09T09:43:03Z,loaded,0,
2026-09-09T09:43:04Z,loaded,0,
2026-09-09T09:43:05Z,loaded,0,
2026-09-09T09:43:06Z,loaded,0,
2026-09-09T09:43:07Z,loaded,0,
2026-09-09T09:43:08Z,loaded,0,
2026-09-09T09:43:10Z,loaded,0,
2026-09-09T09:43:11Z,loaded,0,
2026-09-09T09:43:12Z,loaded,0,
2026-09-09T09:43:13Z,loaded,0,
