arm,seq,idempotency_key,created_at,claimed_at,finished_at,queue_wait_ms,total_ms,final_status,outcome
control,0,f7:probe:realtime:control:0:1788946553544656391,2026-09-09 09:35:53.589,2026-09-09T09:35:55Z,2026-09-09 09:35:55.783,1411,2194,succeeded,ok
control,1,f7:probe:realtime:control:1:1788946568594311371,2026-09-09 09:36:08.621,2026-09-09T09:36:09Z,2026-09-09 09:36:10.456,379,1835,succeeded,ok
control,2,f7:probe:realtime:control:2:1788946583663663422,2026-09-09 09:36:23.683,2026-09-09T09:36:25Z,2026-09-09 09:36:24.685,1317,1002,succeeded,ok
control,3,f7:probe:realtime:control:3:1788946598724494461,2026-09-09 09:36:38.747,2026-09-09T09:36:40Z,2026-09-09 09:36:40.913,1253,2166,succeeded,ok
control,4,f7:probe:realtime:control:4:1788946613789275740,2026-09-09 09:36:53.808,2026-09-09T09:36:55Z,2026-09-09 09:36:55.160,1192,1352,succeeded,ok
control,5,f7:probe:realtime:control:5:1788946628850425485,2026-09-09 09:37:08.871,2026-09-09T09:37:09Z,2026-09-09 09:37:09.948,129,1077,succeeded,ok
control,6,f7:probe:realtime:control:6:1788946643910971834,2026-09-09 09:37:23.931,2026-09-09T09:37:25Z,2026-09-09 09:37:24.379,1069,448,succeeded,ok
control,7,f7:probe:realtime:control:7:1788946658970029537,2026-09-09 09:37:38.990,2026-09-09T09:37:40Z,2026-09-09 09:37:39.591,1010,601,succeeded,ok
control,8,f7:probe:realtime:control:8:1788946674027840254,2026-09-09 09:37:54.046,2026-09-09T09:37:55Z,2026-09-09 09:37:54.801,954,755,succeeded,ok
control,9,f7:probe:realtime:control:9:1788946689087420358,2026-09-09 09:38:09.108,2026-09-09T09:38:11Z,2026-09-09 09:38:09.993,1892,885,succeeded,ok
control,10,f7:probe:realtime:control:10:1788946704150595586,2026-09-09 09:38:24.168,2026-09-09T09:38:26Z,2026-09-09 09:38:25.203,1832,1035,succeeded,ok
control,11,f7:probe:realtime:control:11:1788946719203689248,2026-09-09 09:38:39.222,2026-09-09T09:38:41Z,2026-09-09 09:38:40.415,1778,1193,succeeded,ok
loaded,0,f7:probe:realtime:loaded:0:1788946781387622703,2026-09-09 09:39:41.408,2026-09-09T09:39:42Z,2026-09-09 09:39:47.497,592,6089,succeeded,ok
loaded,1,f7:probe:realtime:loaded:1:1788946796448818981,2026-09-09 09:39:56.470,2026-09-09T09:39:57Z,2026-09-09 09:39:59.810,530,3340,succeeded,ok
loaded,2,f7:probe:realtime:loaded:2:1788946811507568704,2026-09-09 09:40:11.526,2026-09-09T09:40:12Z,2026-09-09 09:40:16.577,474,5051,succeeded,ok
loaded,3,f7:probe:realtime:loaded:3:1788946826560093923,2026-09-09 09:40:26.579,2026-09-09T09:40:27Z,2026-09-09 09:40:28.879,421,2300,succeeded,ok
loaded,4,f7:probe:realtime:loaded:4:1788946841618793885,2026-09-09 09:40:41.637,2026-09-09T09:40:43Z,2026-09-09 09:40:44.617,1363,2980,succeeded,ok
loaded,5,f7:probe:realtime:loaded:5:1788946856682551053,2026-09-09 09:40:56.702,2026-09-09T09:40:57Z,2026-09-09 09:40:59.724,298,3022,succeeded,ok
loaded,6,f7:probe:realtime:loaded:6:1788946871741375502,2026-09-09 09:41:11.766,2026-09-09T09:41:12Z,2026-09-09 09:41:14.449,234,2683,succeeded,ok
loaded,7,f7:probe:realtime:loaded:7:1788946886806737696,2026-09-09 09:41:26.860,2026-09-09T09:41:28Z,2026-09-09 09:41:35.422,1140,8562,succeeded,ok
loaded,8,f7:probe:realtime:loaded:8:1788946901862999031,2026-09-09 09:41:41.884,2026-09-09T09:41:42Z,2026-09-09 09:41:45.535,116,3651,succeeded,ok
loaded,9,f7:probe:realtime:loaded:9:1788946916930215438,2026-09-09 09:41:56.950,2026-09-09T09:41:58Z,2026-09-09 09:42:04.882,1050,7932,succeeded,ok
loaded,10,f7:probe:realtime:loaded:10:1788946931991621532,2026-09-09 09:42:12.010,2026-09-09T09:42:12Z,2026-09-09 09:42:15.393,-10,3383,succeeded,ok
loaded,11,f7:probe:realtime:loaded:11:1788946947047293418,2026-09-09 09:42:27.064,2026-09-09T09:42:28Z,2026-09-09 09:42:36.557,936,9493,succeeded,ok
